year,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),weathercode (wmo code),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
1990,27.516084474885844,85.52248858447489,24.79353881278539,0.19418949771689498,18.16986301369863,1009.6648515981735,53.884360730593606,0.16134931506849315,0.5607739726027398,5.961084474885845,175.7681506849315,15.760262557077624,27.259817351598173,0.3415200913242009,153.51004566210045,67.86723744292237
1991,27.522671232876714,85.80810502283104,24.861404109589042,0.1490296803652968,16.876940639269407,1009.8774315068493,54.171118721461184,0.16178310502283105,0.5484246575342465,6.06884703196347,174.59006849315068,15.673949771689497,27.20480593607306,0.3343594748858448,151.15924657534248,71.91438356164383
1992,27.50800318761384,84.65232240437159,24.608526867030964,0.15704690346083788,15.599157559198543,1010.1882513661202,48.724043715846996,0.16343806921675774,0.594799635701275,5.591951275045537,186.8129553734062,15.0341985428051,27.31943306010929,0.3219569672131148,152.60314207650273,71.57035519125684
1993,27.42964611872146,86.00308219178082,24.816746575342467,0.2279908675799087,19.29200913242009,1010.039109589041,54.915182648401824,0.15600228310502282,0.5364726027397261,5.170662100456621,184.3829908675799,14.17802511415525,27.0537899543379,0.34763162100456624,142.5038812785388,72.35205479452055
1994,27.451609589041098,85.9296803652968,24.808573059360732,0.20042237442922375,18.800456621004567,1009.7734246575342,56.051598173515984,0.15689954337899545,0.5418869863013699,5.680285388127854,181.74246575342465,15.494063926940639,27.177614155251142,0.3534228310502283,145.06381278538814,70.3892694063927
1995,27.235285388127856,86.98755707762557,24.830205479452054,0.28251141552511416,22.245205479452054,1009.5921575342467,58.96643835616438,0.15202283105022832,0.49085388127853885,5.0495319634703195,179.78470319634704,14.08466894977169,27.12708904109589,0.3700582191780822,141.06826484018265,70.64611872146119
1996,27.194558287795992,86.8690801457195,24.758333333333336,0.3354166666666667,29.146402550091075,1008.9770833333332,62.28859289617486,0.14795651183970857,0.49706967213114756,5.612864298724955,158.33048724954463,14.07167577413479,27.08252504553734,0.364564776867031,130.6870446265938,73.61873861566484
1997,27.237545662100455,85.66609589041096,24.54712328767123,0.20439497716894978,18.60159817351598,1010.6950913242009,54.24885844748859,0.15973173515981734,0.5480821917808218,5.795799086757991,175.21415525114156,15.074212328767125,27.079166666666666,0.3524993150684932,153.54680365296804,67.32751141552511
1998,27.851358447488582,84.85079908675799,24.979326484018266,0.21619863013698631,17.203881278538812,1010.1514840182648,48.90867579908676,0.164837899543379,0.5993207762557078,4.889406392694063,202.78824200913243,13.606655251141554,27.729166666666668,0.33414223744292243,159.00068493150684,66.42283105022831
1999,27.252340182648403,86.45296803652968,24.734931506849314,0.3577511415525114,23.54052511415525,1008.8235958904108,62.4337899543379,0.1440867579908676,0.5123070776255708,5.001769406392694,183.18527397260274,14.27183789954338,27.0903196347032,0.3707735159817352,122.8662100456621,73.9804794520548
2000,27.473668032786886,86.21459471766849,24.902390710382516,0.302037795992714,21.06841985428051,1008.6229849726777,58.645947176684885,0.1478756830601093,0.5299214480874317,4.808504098360656,186.75011384335156,13.92964480874317,27.153973132969035,0.36768647540983607,128.04918032786884,73.50933515482696
