year,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),weathercode (wmo code),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
1990,23.819132420091325,82.2236301369863,20.33568493150685,0.29174657534246573,19.584018264840182,937.5941438356165,53.4365296803653,0.15749086757990868,0.5863561643835616,4.934303652968037,182.71712328767123,19.000148401826483,25.012614155251143,0.34250821917808216,153.15536529680367,67.78493150684932
1991,23.682488584474886,82.36438356164383,20.26082191780822,0.2620433789954338,18.732648401826484,937.7877168949772,53.90707762557078,0.15673630136986302,0.571068493150685,4.94675799086758,178.05102739726027,18.519303652968038,24.82562785388128,0.35845673515981735,150.5035388127854,71.28664383561645
1992,23.780532786885246,80.96436703096539,20.001593806921676,0.25703551912568307,19.11111111111111,938.0700819672131,51.35917577413479,0.15977914389799636,0.6294592440801458,4.719911202185792,178.1531193078324,18.228403916211292,25.090938069216758,0.3202387295081967,151.4106329690346,72.31079234972678
1993,23.4741095890411,84.32020547945206,20.496244292237442,0.3303538812785388,21.23755707762557,937.8952283105023,57.09200913242009,0.1527945205479452,0.49858675799086755,4.326392694063927,184.59223744292237,16.502043378995435,24.65361872146119,0.38297420091324197,146.37865296803653,70.99840182648401
1994,23.39030821917808,84.27294520547945,20.392568493150684,0.2996461187214612,20.68755707762557,937.6804680365298,57.54041095890411,0.15079680365296805,0.5003093607305936,4.902945205479452,185.6626712328767,18.51329908675799,24.544212328767124,0.37365102739726025,145.3203196347032,69.84691780821917
1995,23.707739726027395,83.58493150684932,20.534406392694063,0.346324200913242,21.651598173515982,937.5064497716895,58.2925799086758,0.15376712328767123,0.5347682648401826,4.277751141552511,166.48230593607306,17.026084474885845,24.886952054794524,0.37354954337899543,147.25456621004565,69.40650684931506
1996,23.33959471766849,86.01411657559198,20.72453324225865,0.40720628415300547,27.15391621129326,936.8890938069217,62.13205828779599,0.1458549635701275,0.43984517304189436,4.370696721311475,181.03062386156648,15.732547814207651,24.58197859744991,0.4020137750455373,136.24510473588342,72.08173952641165
1997,23.456472602739726,84.36735159817351,20.508744292237445,0.28391552511415524,20.806050228310504,938.4834817351598,57.056164383561644,0.1542191780821918,0.4946381278538812,4.627614155251142,181.00525114155252,17.11412100456621,24.64093607305936,0.3853356164383562,153.2417808219178,66.76803652968036
1998,24.621038812785386,78.32442922374429,20.131655251141552,0.25565068493150683,17.65570776255708,938.2556849315068,49.263470319634706,0.16969520547945205,0.7636484018264841,4.530228310502284,152.54714611872146,18.29302511415525,26.15695205479452,0.30661609589041094,164.40079908675798,65.69223744292238
1999,23.068789954337902,87.57945205479452,20.780719178082194,0.4079337899543379,24.177625570776257,936.7840753424657,63.076027397260276,0.14197602739726028,0.3835616438356164,4.1721232876712335,169.4538812785388,16.723276255707763,24.476563926940642,0.4082909817351598,130.59383561643835,73.63310502283105
