,rain (mm),surface_pressure (hPa),dewpoint_2m (°C),windgusts_10m (km/h),diffuse_radiation (W/m²),Yield (mt/ha)
0,0.1955026043691207,0.667076051015588,0.5733944954128436,0.1611111111111111,0.4249106078665075,0.3693090798373428
1,0.1825196299463577,0.6694378837978263,0.5561926605504586,0.2777777777777777,0.5983313468414777,0.3700678117080255
2,0.1434540931353495,0.6727444496929618,0.4850917431192658,0.0777777777777777,0.5822407628128725,0.3585250079068289
3,0.2570745549249786,0.670477090222013,0.580275229357798,0.1,0.4922526817640045,0.3715811205148265
4,0.1995840783643007,0.6672649976381688,0.5825688073394493,0.1166666666666666,0.4457687723480332,0.3730470149473462
5,0.2908924823136127,0.6672649976381688,0.5917431192660545,0.1611111111111111,0.4058402860548269,0.3762964638255588
6,0.4067480370053643,0.6604629192253189,0.630733944954128,0.1388888888888889,0.4553039332538735,0.3827796332298483
7,0.235384435979165,0.6762399622106763,0.5814220183486234,0.1,0.2538736591179975,0.3917507893983243
8,0.1626370209126953,0.674917335852621,0.5447247706422016,0.1166666666666666,0.2675804529201433,0.4015207619363872
9,0.4230156262147244,0.6592347661785549,0.6399082568807337,0.261111111111111,0.5792610250297971,0.3725012337608601
10,0.3801990204462412,0.6574397732640538,0.6341743119266052,0.1611111111111111,0.5816448152562566,0.4068723382307331
11,0.322280960895592,0.6598960793575817,0.6341743119266052,0.261111111111111,0.5387365911799757,0.4105786672977627
12,0.225336235714841,0.6683986773736432,0.6055045871559632,0.1611111111111111,0.3802145411203814,0.4163164991855189
13,0.2963733188214258,0.6674539442607461,0.6158256880733943,0.1,0.5607866507747317,0.3992391396877581
14,0.1447757132861696,0.6643363249881915,0.613532110091743,0.0777777777777777,0.4302741358760431,0.4085722248387524
15,0.3007268910829511,0.6682097307510624,0.5940366972477062,0.1388888888888889,0.421930870083433,0.3790956545248822
16,0.2346653191323952,0.6651865847897973,0.6112385321100917,0.1166666666666666,0.4392133492252674,0.4013160653682036
17,0.3277034906320454,0.6612187057156351,0.613532110091743,0.2166666666666666,0.4761620977353993,0.4473040555915722
18,0.3656223276063127,0.6605573925366084,0.6158256880733943,0.2777777777777777,0.5387365911799757,0.5148412465593661
19,0.4002371142035296,0.659423712801134,0.630733944954128,0.1999999999999999,0.4856972586412387,0.2254793162464058
20,0.2563554380782088,0.6666036844591403,0.6192660550458715,0.2388888888888888,0.3241954707985699,0.1845052010503492
21,0.506530358392288,0.6568729333963166,0.676605504587156,0.0777777777777777,0.7210965435041712,0.098862220982326
22,0.3130879266112104,0.6609352857817665,0.6215596330275228,0.0777777777777777,0.4618593563766393,0.0608026606331892
23,0.3957669283992848,0.6621634388285305,0.6490825688073389,0.2777777777777777,0.5321811680572108,0.0468403090083376
24,0.5116807898623961,0.664430798299481,0.6525229357798161,0.1166666666666666,0.5208581644815253,0.0523427134097322
25,0.2890461012205551,0.673311289560699,0.6204128440366969,0.0777777777777777,0.2598331346841482,0.0606908932252739
26,0.2579880276762808,0.6701936702881444,0.613532110091743,0.2388888888888888,0.4421930870083437,0.0651081667738127
27,0.4084778045557025,0.6638639584317438,0.6892201834862384,0.1166666666666666,0.6364719904648388,0.0611662724969516
28,0.2495724170100287,0.6629192253188485,0.6376146788990824,0.0777777777777777,0.4392133492252674,0.0581875926068168
29,0.1823835808131851,0.671894189891356,0.580275229357798,0.1388888888888889,0.4082240762812872,0.0663303965290109
30,0.2690663142346264,0.6699102503542758,0.6215596330275228,0.0777777777777777,0.4636471990464836,0.0947329822989078
31,0.4771826168078986,0.6633915918752944,0.6720183486238529,0.1388888888888889,0.4868891537544697,0.0704186400793041
32,0.1586527248697815,0.9776098252243736,0.7477064220183482,0.2166666666666666,0.2759237187127534,0.3426417434164636
