,Wind_Direction,Wind_Speed_(km/h),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²),rain (mm),weathercode (wmo code),windgusts_10m (km/h),cloudcover (%),Production (mt),Area (ha),Yield (mt/ha)
674,0.3076923076923077,0.5809128630705396,0.8634146341463418,0.7440251572327048,0.9197247706422016,0.9831837505904595,0.6190476190476195,0.31818181818181823,0.7930020582181712,0.9354838709677419,0.5702276254526644,0.42312276519666225,0.28877400295420974,0.0,0.4611111111111111,1.0,0.010633834129722757,0.010127098484333583,0.3099518827747311
675,0.3076923076923077,0.5601659751037346,0.8553802008608322,0.7037735849056608,0.8967889908256876,0.9918752952290983,0.6190476190476195,0.3484848484848486,0.7777124375183768,0.8709677419354839,0.7589239524055873,0.12514898688915377,0.2416038249242012,0.0,0.7166666666666666,1.0,0.012996212540297862,0.014884795758852718,0.2631380219824506
676,0.3076923076923077,0.5809128630705396,0.8461979913916786,0.7276729559748425,0.8956422018348622,0.9914029286726507,0.6190476190476195,0.31818181818181823,0.7871214348720965,0.8387096774193549,0.5853595447490947,0.3808104886769965,0.33250408147399524,0.0,0.49999999999999994,1.0,0.013166693456524933,0.014884795758852718,0.26662757663077485
677,0.3076923076923077,0.6016597510373445,0.8565279770444763,0.7377358490566035,0.9105504587155959,0.9885687293339647,0.6190476190476195,0.31818181818181823,0.7859453102028815,0.8709677419354839,0.6894723228142785,0.28545887961859284,0.17970146933063827,0.0,0.3611111111111111,1.0,0.01894704027733418,0.02399238768436077,0.24190069586986784
678,0.3076923076923077,0.4647302904564316,0.8599713055954088,0.6974842767295595,0.8979357798165135,0.9914974019839402,0.6190476190476195,0.3484848484848486,0.80711555424875,0.8387096774193549,0.663217796171754,0.2687723480333726,0.2720788307548784,0.0,0.5166666666666666,1.0,0.020127881562384535,0.024128321892204173,0.2558147238136725
679,0.3076923076923077,0.5062240663900416,0.8680057388809184,0.7402515723270442,0.9231651376146788,0.9881908360888048,0.6190476190476195,0.31818181818181823,0.7835930608644515,0.8709677419354839,0.6107087428867048,0.35756853396901045,0.23579258337868306,0.0,0.7,1.0,0.022129118766748015,0.025215795554951403,0.26969046795146
680,0.3076923076923077,0.5601659751037346,0.8737446197991394,0.7314465408805031,0.9254587155963301,0.9836561171469054,0.6190476190476195,0.33333333333333337,0.80711555424875,0.8387096774193549,0.5999741334712885,0.34624553039332495,0.2954792816605769,0.0,0.7388888888888889,1.0,0.02432797466584001,0.02623530211377693,0.28553836439100627
681,0.3076923076923077,0.5062240663900416,0.8553802008608322,0.7723270440251566,0.9220183486238533,0.9827113840340118,0.4285714285714288,0.28787878787878785,0.7812408115260219,0.9677419354838709,0.541774443869633,0.4421930870083437,0.3461089947912618,0.0,0.4777777777777777,1.0,0.026139247420693325,0.026914973152993953,0.29947684571766786
682,0.3076923076923077,0.5601659751037346,0.8703012912482069,0.7487421383647792,0.9277522935779814,0.98308927727917,0.6190476190476195,0.31060606060606066,0.7859453102028815,0.9354838709677419,0.5368598034143819,0.4112038140643617,0.3658166835108452,0.0,0.5777777777777777,1.0,0.02789972382091572,0.02725480867260246,0.3160181536113351
683,0.3076923076923077,0.5809128630705396,0.8967001434720232,0.7361635220125793,0.9483944954128436,0.9874350495984885,0.6190476190476195,0.33333333333333337,0.8423992943251983,0.8387096774193549,0.7313760993274705,0.2699642431466036,0.3079180595506492,0.0,0.3,1.0,0.02805698376812926,0.02759464419221097,0.31396052215937464
684,0.3076923076923077,0.5062240663900416,0.8507890961262556,0.7933962264150942,0.9243119266055047,0.9800661313179031,0.4285714285714288,0.2727272727272727,0.7671273154954421,0.9677419354838709,0.3351008794619763,0.7228843861740164,0.48412112259970463,0.0,0.6166666666666667,1.0,0.023932737276382968,0.023584585060830558,0.31190179323388345
685,0.3076923076923077,0.5062240663900416,0.8714490674318509,0.7421383647798745,0.926605504587156,0.98308927727917,0.6190476190476195,0.31818181818181823,0.7906498088797411,0.9354838709677419,0.5747542679772375,0.4171632896305124,0.30838451372152687,0.0,0.7166666666666666,1.0,0.023979358588167514,0.023856453476517367,0.3090180678686851
686,0.3076923076923077,0.5062240663900416,0.8714490674318509,0.7660377358490562,0.9357798165137612,0.984695323571092,0.4285714285714288,0.3030303030303031,0.7894736842105261,0.9354838709677419,0.4776254526642527,0.47258641239570887,0.32756744149887274,0.0,0.5388888888888888,1.0,0.024144272780599413,0.023856453476517367,0.3111729095237157
687,0.3076923076923077,0.3278008298755187,0.8530846484935442,0.7418238993710693,0.9082568807339446,0.9889466225791228,0.4285714285714288,0.3030303030303031,0.7683034401646576,0.9354838709677419,0.4255043973098813,0.5286054827175204,0.3932986084117236,0.0,0.33888888888888885,1.0,0.02552412444132708,0.024196288996125876,0.3246617409778025
688,0.3076923076923077,0.6348547717842326,0.878335724533716,0.6490566037735848,0.8979357798165135,0.9967879074161559,0.6190476190476195,0.4015151515151516,0.8153484269332547,0.8064516129032259,0.7489653388515263,0.1281287246722287,0.23225530591619373,0.0,0.49999999999999994,1.0,0.02657623523861414,0.024196288996125876,0.3382233096721392
689,0.3076923076923077,0.44398340248962664,0.919655667144907,0.6899371069182392,0.9541284403669721,0.9919697685403879,0.6190476190476195,0.3787878787878789,0.869450161717142,0.8064516129032259,0.7435333678220386,0.2228843861740164,0.21068180051309957,0.0,0.5388888888888888,1.0,0.020125794040961348,0.02474002582749949,0.24953505062626316
690,0.3076923076923077,0.6016597510373445,0.8852223816355811,0.7798742138364778,0.9541284403669721,0.9866792631081722,0.4285714285714288,0.28787878787878785,0.808291678917965,0.9354838709677419,0.4202017589239526,0.599523241954707,0.4316255927855088,0.0,0.3,1.0,0.015794882928319386,0.031876571739278194,0.15104013979769826
691,0.3076923076923077,0.5601659751037346,0.9024390243902443,0.7050314465408807,0.943807339449541,0.9863013698630141,0.6190476190476195,0.36363636363636376,0.828285798294619,0.9032258064516131,0.6621831350232801,0.3134684147794986,0.2742750524760943,0.0,0.7777777777777777,1.0,0.016227695703393826,0.031876571739278194,0.15531383082116448
