,Location,Year,Production (mt),Area (ha),Yield (mt/ha)
470,SURIGAO DEL SUR,2008,2007,2100,0.955714286
471,BASILAN,2008,1735.5,2907,0.597007224
472,LANAO DEL SUR,2008,277.65,2400,0.1156875
473,MAGUINDANAO,2008,2885.5,3432,0.840763403
474,SULU,2008,2615.4,1035,2.526956522
475,ZAMBOANGA DEL NORTE,2009,403.72,415,0.972819277
476,ZAMBOANGA DEL SUR,2009,42.56,62,0.686451613
477,ZAMBOANGA SIBUGAY,2009,60.44,82,0.737073171
478,ZAMBOANGA CITY,2009,51.89,34,1.526176471
479,BUKIDNON,2009,4675,10450,0.447368421
480,CAMIGUIN,2009,15.46,29,0.533103448
481,LANAO DEL NORTE,2009,229.4,802,0.286034913
482,MISAMIS OCCIDENTAL,2009,3.16,37,0.085405405
483,MISAMIS ORIENTAL,2009,344.09,390,0.882282051
484,DAVAO DE ORO,2009,10121.33,10039,1.008201016
485,DAVAO DEL NORTE,2009,598.8,584,1.025342466
486,DAVAO DEL SUR,2009,2935.89,2856,1.027972689
487,DAVAO ORIENTAL,2009,1294.01,1495,0.865558528
488,DAVAO CITY,2009,2938.26,5150,0.570535922
489,COTABATO,2009,1773.92,2010,0.882547264
490,SARANGANI,2009,218.75,302,0.724337748
491,SULTAN KUDARAT,2009,12213.84,11210,1.089548617
492,SOUTH COTABATO,2009,884.88,983,0.900183113
493,AGUSAN DEL NORTE,2009,199.5,285,0.7
494,AGUSAN DEL SUR,2009,348.66,1455,0.239628866
495,SURIGAO DEL NORTE,2009,10.25,10,1.025
496,SURIGAO DEL SUR,2009,1940.56,2100,0.92407619
497,BASILAN,2009,1720.25,2907,0.591761266
498,LANAO DEL SUR,2009,296.2,2400,0.123416667
499,MAGUINDANAO,2009,2888,3433,0.841246723
500,SULU,2009,2502.35,1035,2.417729469
501,ZAMBOANGA DEL NORTE,2010,405.98,420,0.966619048
502,ZAMBOANGA DEL SUR,2010,28.65,51,0.561764706
503,ZAMBOANGA SIBUGAY,2010,60.41,82,0.736707317
504,ZAMBOANGA CITY,2010,51,34,1.5
505,BUKIDNON,2010,4610,9000,0.512222222
506,CAMIGUIN,2010,12.65,26,0.486538462
507,LANAO DEL NORTE,2010,223.6,802,0.278802993
508,MISAMIS OCCIDENTAL,2010,3.75,37,0.101351351
509,MISAMIS ORIENTAL,2010,364,390,0.933333333
510,DAVAO DE ORO,2010,10026.37,10050,0.997648756
511,DAVAO DEL NORTE,2010,601.06,580,1.036310345
512,DAVAO DEL SUR,2010,2664.25,2856,0.932860644
513,DAVAO ORIENTAL,2010,1276.3,1495,0.853712375
514,DAVAO CITY,2010,2593.65,4597,0.564204916
515,COTABATO,2010,1735.65,1910,0.908717277
516,SARANGANI,2010,217.05,305,0.711639344
517,SULTAN KUDARAT,2010,12462.98,12360,1.008331715
518,SOUTH COTABATO,2010,908.82,1094,0.830731261
519,AGUSAN DEL NORTE,2010,172.96,300,0.576533333
520,AGUSAN DEL SUR,2010,303.56,1453,0.208919477
521,SURIGAO DEL NORTE,2010,8.8,10,0.88
522,SURIGAO DEL SUR,2010,1703.1,2100,0.811
523,BASILAN,2010,1675,2907,0.57619539
524,LANAO DEL SUR,2010,285.45,2400,0.1189375
525,MAGUINDANAO,2010,2887.75,3433.5,0.841051405
526,SULU,2010,2554.35,1035,2.467971014
527,ZAMBOANGA DEL NORTE,2011,346.71,361,0.960415512
528,ZAMBOANGA DEL SUR,2011,20.57,36,0.571388889
529,ZAMBOANGA SIBUGAY,2011,54.05,82,0.659146341
530,ZAMBOANGA CITY,2011,42.83,34,1.259705882
531,BUKIDNON,2011,4545,9000,0.505
532,CAMIGUIN,2011,10.66,25,0.4264
533,LANAO DEL NORTE,2011,213.38,802,0.26605985
534,MISAMIS OCCIDENTAL,2011,4.24,37,0.114594595
535,MISAMIS ORIENTAL,2011,354.7,395,0.897974684
536,DAVAO DE ORO,2011,8519.08,10000,0.851908
537,DAVAO DEL NORTE,2011,609.57,586,1.040221843
538,DAVAO DEL SUR,2011,2684.63,2856,0.939996499
539,DAVAO ORIENTAL,2011,1255.53,1492,0.841508043
540,DAVAO CITY,2011,2277.7,4237,0.537573755
541,COTABATO,2011,1721.23,1855,0.927886792
542,SARANGANI,2011,219.8,310,0.709032258
543,SULTAN KUDARAT,2011,12199.23,12360,0.986992718
544,SOUTH COTABATO,2011,993.35,1141,0.870595968
545,AGUSAN DEL NORTE,2011,95.54,300,0.318466667
546,AGUSAN DEL SUR,2011,235.93,1453,0.162374398
547,SURIGAO DEL NORTE,2011,6.2,7,0.885714286
548,SURIGAO DEL SUR,2011,1639.41,2100,0.780671429
549,BASILAN,2011,1644.5,2907,0.565703474
550,LANAO DEL SUR,2011,289.92,2400,0.1208
551,MAGUINDANAO,2011,2885,3435,0.839883552
552,SULU,2011,2671.2,1040,2.568461538
553,ZAMBOANGA DEL NORTE,2012,347.38,365,0.951726027
554,ZAMBOANGA DEL SUR,2012,14.2,24,0.591666667
555,ZAMBOANGA SIBUGAY,2012,60.39,74,0.816081081
556,ZAMBOANGA CITY,2012,29.03,34,0.853823529
557,BUKIDNON,2012,3930,9000,0.436666667
558,CAMIGUIN,2012,8.63,23,0.375217391
559,LANAO DEL NORTE,2012,202,802,0.251870324
560,MISAMIS OCCIDENTAL,2012,4.9,37,0.132432432
561,MISAMIS ORIENTAL,2012,355,595,0.596638655
562,DAVAO DE ORO,2012,7492.23,9950,0.75298794
563,DAVAO DEL NORTE,2012,613.56,591,1.038172589
564,DAVAO DEL SUR,2012,2697.61,2856,0.944541317
565,DAVAO ORIENTAL,2012,1217.51,1481,0.822086428
566,DAVAO CITY,2012,2093.22,4236,0.494150142
567,COTABATO,2012,1776.04,1895,0.937224274
568,SARANGANI,2012,221.7,312,0.710576923
569,SULTAN KUDARAT,2012,12506.3,12375,1.010610101
570,SOUTH COTABATO,2012,995.31,1132,0.879249117
571,AGUSAN DEL NORTE,2012,78.66,386,0.203782383
572,AGUSAN DEL SUR,2012,226.42,1450,0.156151724
573,SURIGAO DEL NORTE,2012,5.5,10,0.55
574,SURIGAO DEL SUR,2012,1454,2400,0.605833333
575,BASILAN,2012,1594.66,2907,0.548558652
576,LANAO DEL SUR,2012,291.48,2400,0.12145
577,MAGUINDANAO,2012,2900.75,3435,0.844468705
578,SULU,2012,2567.15,1040,2.468413462
579,ZAMBOANGA DEL NORTE,2013,349.75,365,0.958219178
580,ZAMBOANGA DEL SUR,2013,11.76,17,0.691764706
581,ZAMBOANGA SIBUGAY,2013,54.39,50,1.0878
582,ZAMBOANGA CITY,2013,26.95,28,0.9625
583,BUKIDNON,2013,4070,9000,0.452222222
584,CAMIGUIN,2013,8.15,22.5,0.362222222
585,LANAO DEL NORTE,2013,194.96,802,0.243092269
586,MISAMIS OCCIDENTAL,2013,6.19,37,0.167297297
587,MISAMIS ORIENTAL,2013,378.54,595,0.636201681
588,DAVAO DE ORO,2013,1824.5,7276,0.25075591
589,DAVAO DEL NORTE,2013,603.14,598,1.008595318
590,DAVAO DEL SUR,2013,2707.63,2856,0.94804972
591,DAVAO ORIENTAL,2013,1186.33,1161,1.021817399
592,DAVAO CITY,2013,1999.19,4158,0.480805676
593,COTABATO,2013,1816.79,1900,0.956205263
594,SARANGANI,2013,225.5,400,0.56375
595,SULTAN KUDARAT,2013,13224.63,12375,1.06865697
596,SOUTH COTABATO,2013,1024.75,1166,0.878859348
597,AGUSAN DEL NORTE,2013,62.42,386,0.161709845
598,AGUSAN DEL SUR,2013,62.29,1450,0.042958621
599,SURIGAO DEL NORTE,2013,3.85,10,0.385
600,SURIGAO DEL SUR,2013,1358.5,2400,0.566041667
601,BASILAN,2013,1549.28,2907,0.532948056
602,LANAO DEL SUR,2013,300.2,2400,0.125083333
603,MAGUINDANAO,2013,2904.76,3435,0.845636099
604,SULU,2013,2532.6,1020,2.482941176
605,ZAMBOANGA DEL NORTE,2014,369.58,370,0.998864865
606,ZAMBOANGA DEL SUR,2014,9.35,14,0.667857143
607,ZAMBOANGA SIBUGAY,2014,50.71,50,1.0142
608,ZAMBOANGA CITY,2014,22.9,20,1.145
609,BUKIDNON,2014,4187,9000,0.465222222
610,CAMIGUIN,2014,7.34,22,0.333636364
611,LANAO DEL NORTE,2014,204.2,810,0.252098765
612,MISAMIS OCCIDENTAL,2014,7.63,37,0.206216216
613,MISAMIS ORIENTAL,2014,368.59,598,0.616371237
614,DAVAO DE ORO,2014,1311.58,7126,0.184055571
615,DAVAO DEL NORTE,2014,611.7,636,0.961792453
616,DAVAO DEL SUR,2014,2831.39,2896,0.977689917
617,DAVAO ORIENTAL,2014,1147.9,1183,0.97032967
618,DAVAO CITY,2014,1946.99,4156,0.468476901
619,COTABATO,2014,1826.62,1900,0.961378947
620,SARANGANI,2014,227.4,550,0.413454545
621,SULTAN KUDARAT,2014,12709.82,13025,0.975801919
622,SOUTH COTABATO,2014,1032.68,1188,0.869259259
623,AGUSAN DEL NORTE,2014,68.82,386,0.178290155
624,AGUSAN DEL SUR,2014,37.1,1480,0.025067568
625,SURIGAO DEL NORTE,2014,2.55,10,0.255
626,SURIGAO DEL SUR,2014,1290.3,2400,0.537625
627,BASILAN,2014,1516,2907,0.521499828
628,LANAO DEL SUR,2014,301.9,2400,0.125791667
629,MAGUINDANAO,2014,2904.56,3435,0.845577875
630,SULU,2014,2462.15,1025,2.402097561
631,ZAMBOANGA DEL NORTE,2015,384.7,370,1.03972973
632,ZAMBOANGA DEL SUR,2015,8.93,14,0.637857143
633,ZAMBOANGA SIBUGAY,2015,54.16,62,0.873548387
634,ZAMBOANGA CITY,2015,22.48,28,0.802857143
635,BUKIDNON,2015,4213,9000,0.468111111
636,CAMIGUIN,2015,6.9,21.25,0.324705882
637,LANAO DEL NORTE,2015,202.45,815,0.248404908
638,MISAMIS OCCIDENTAL,2015,8.92,37,0.241081081
639,MISAMIS ORIENTAL,2015,383.5,620,0.618548387
640,DAVAO DE ORO,2015,1242.65,4560,0.272510965
641,DAVAO DEL NORTE,2015,621.66,643,0.96681182
642,DAVAO DEL SUR,2015,2925.97,2896,1.010348757
643,DAVAO ORIENTAL,2015,1123.41,1183,0.949628064
644,DAVAO CITY,2015,1882.01,3408,0.552232981
645,COTABATO,2015,1840.53,1902,0.967681388
646,SARANGANI,2015,226,550,0.410909091
647,SULTAN KUDARAT,2015,12207.25,13225,0.923043478
648,SOUTH COTABATO,2015,1022.32,1188,0.860538721
649,AGUSAN DEL NORTE,2015,78.53,386,0.203445596
650,AGUSAN DEL SUR,2015,39.69,1500,0.02646
651,SURIGAO DEL NORTE,2015,1.58,10,0.158
652,SURIGAO DEL SUR,2015,1521.09,2400,0.6337875
653,BASILAN,2015,1515,2907,0.521155831
654,LANAO DEL SUR,2015,311.03,2650,0.117369811
655,MAGUINDANAO,2015,2988.5,3435,0.870014556
656,SULU,2015,2495.68,1026,2.432436647
657,ZAMBOANGA DEL NORTE,2016,292,378,0.772486772
658,ZAMBOANGA DEL SUR,2016,8.24,16,0.515
659,ZAMBOANGA SIBUGAY,2016,53.35,62,0.860483871
660,ZAMBOANGA CITY,2016,22.15,28,0.791071429
661,BUKIDNON,2016,4377,9000,0.486333333
662,CAMIGUIN,2016,5.03,21,0.23952381
663,LANAO DEL NORTE,2016,222.75,850,0.262058824
664,MISAMIS OCCIDENTAL,2016,8.9,37,0.240540541
665,MISAMIS ORIENTAL,2016,390,622,0.627009646
666,DAVAO DE ORO,2016,1226.57,4481,0.273726847
667,DAVAO DEL NORTE,2016,650.74,674,0.965489614
668,DAVAO DEL SUR,2016,2849.12,2896,0.983812155
669,DAVAO ORIENTAL,2016,1111.54,1179,0.942782019
670,DAVAO CITY,2016,1840.77,3408,0.540132042
671,COTABATO,2016,1252.59,1850,0.677075676
672,SARANGANI,2016,219.5,525,0.418095238
673,SULTAN KUDARAT,2016,11984.85,13300,0.901116541
674,SOUTH COTABATO,2016,572.01,1164,0.491417526
675,AGUSAN DEL NORTE,2016,88.87,410,0.216756098
676,AGUSAN DEL SUR,2016,30.85,1500,0.020566667
677,SURIGAO DEL NORTE,2016,1.3,10,0.13
678,SURIGAO DEL SUR,2016,1709.1,2450,0.697591837
679,BASILAN,2016,1470,2907,0.505675955
680,LANAO DEL SUR,2016,315.25,2650,0.118962264
681,MAGUINDANAO,2016,2967.55,3430,0.865174927
682,SULU,2016,2451.16,1026,2.389044834
683,ZAMBOANGA DEL NORTE,2017,229.76,483,0.475693582
684,ZAMBOANGA DEL SUR,2017,8.95,20.8,0.430288462
685,ZAMBOANGA SIBUGAY,2017,52.21,62,0.842096774
686,ZAMBOANGA CITY,2017,21.73,28,0.776071429
687,BUKIDNON,2017,4481,9000,0.497888889
688,CAMIGUIN,2017,4.79,20.5,0.233658537
689,LANAO DEL NORTE,2017,233.2,850,0.274352941
690,MISAMIS OCCIDENTAL,2017,9.25,39,0.237179487
691,MISAMIS ORIENTAL,2017,404.3,622,0.65
692,DAVAO DE ORO,2017,1120.03,4266,0.262548054
693,DAVAO DEL NORTE,2017,668.71,695,0.962172662
694,DAVAO DEL SUR,2017,2732.78,2896,0.943639503
695,DAVAO ORIENTAL,2017,1126.31,1229,0.916444264
696,DAVAO CITY,2017,1658.09,2770,0.598588448
697,COTABATO,2017,1284.82,1845,0.696379404
698,SARANGANI,2017,224,530,0.422641509
699,SULTAN KUDARAT,2017,10875.79,13300,0.817728571
700,SOUTH COTABATO,2017,587.25,1164,0.504510309
701,AGUSAN DEL NORTE,2017,84,410,0.204878049
702,AGUSAN DEL SUR,2017,94.26,1500,0.06284
703,SURIGAO DEL NORTE,2017,1.2,10,0.12
704,SURIGAO DEL SUR,2017,1401.3,2450,0.571959184
705,BASILAN,2017,1474.1,2907,0.507086343
706,LANAO DEL SUR,2017,313.34,2650,0.118241509
707,MAGUINDANAO,2017,2724.75,3429,0.794619423
708,SULU,2017,2486.46,1030,2.414038835
709,ZAMBOANGA DEL NORTE,2018,235.98,483,0.488571429
710,ZAMBOANGA DEL SUR,2018,10.66,21,0.507619048
711,ZAMBOANGA SIBUGAY,2018,52.55,62,0.847580645
712,ZAMBOANGA CITY,2018,22,30,0.733333333
713,BUKIDNON,2018,4577.8,9000,0.508644444
714,CAMIGUIN,2018,4.33,19,0.227894737
715,LANAO DEL NORTE,2018,240.25,882,0.27239229
716,MISAMIS OCCIDENTAL,2018,11.65,50,0.233
717,MISAMIS ORIENTAL,2018,406.85,630,0.645793651
718,DAVAO DE ORO,2018,1162.29,4271,0.272135331
719,DAVAO DEL NORTE,2018,672.9,699,0.962660944
720,DAVAO DEL SUR,2018,2793.29,2895,0.964867012
721,DAVAO ORIENTAL,2018,1127.65,1231,0.916043867
722,DAVAO CITY,2018,1601.73,2770,0.578241877
723,COTABATO,2018,1094.8,1678,0.652443385
724,SARANGANI,2018,237,600,0.395
725,SULTAN KUDARAT,2018,9519.81,13370,0.712027674
726,SOUTH COTABATO,2018,603.38,1175,0.513514894
727,AGUSAN DEL NORTE,2018,80.32,410,0.195902439
728,AGUSAN DEL SUR,2018,91.76,1500,0.061173333
729,DINAGAT ISLANDS,2018,0.1,188,0.000531915
730,SURIGAO DEL NORTE,2018,1.08,10,0.108
731,SURIGAO DEL SUR,2018,1489.28,2450,0.607869388
732,BASILAN,2018,1590.21,2907,0.547027864
733,LANAO DEL SUR,2018,324.6,2650,0.122490566
734,MAGUINDANAO,2018,2798.57,3429,0.816147565
735,SULU,2018,2517.2,1029,2.446258503
736,ZAMBOANGA DEL NORTE,2019,230.62,496,0.464959677
737,ZAMBOANGA DEL SUR,2019,10.16,25,0.4064
738,ZAMBOANGA SIBUGAY,2019,53.22,63,0.844761905
739,ZAMBOANGA CITY,2019,20.5,34,0.602941176
740,BUKIDNON,2019,4674.4,9000,0.519377778
741,CAMIGUIN,2019,4,18,0.222222222
742,LANAO DEL NORTE,2019,258.12,885,0.291661017
743,MISAMIS OCCIDENTAL,2019,14.7,77,0.190909091
744,MISAMIS ORIENTAL,2019,411.85,630,0.653730159
745,DAVAO DE ORO,2019,1166.99,4271,0.273235776
746,DAVAO DEL NORTE,2019,691.7,693.14,0.997922498
747,DAVAO DEL SUR,2019,1600.98,1669.25,0.959101393
748,DAVAO OCCIDENTAL,2019,1175.62,1225.75,0.95910259
749,DAVAO ORIENTAL,2019,1105.3,1231,0.897887896
750,DAVAO CITY,2019,1570.55,2750,0.571109091
751,COTABATO,2019,910.61,1450,0.628006897
752,SARANGANI,2019,242,600,0.403333333
753,SULTAN KUDARAT,2019,10006.93,13370,0.748461481
754,SOUTH COTABATO,2019,595.97,1195,0.498719665
755,AGUSAN DEL NORTE,2019,90.38,410,0.220439024
756,AGUSAN DEL SUR,2019,99.57,1520,0.065506579
757,DINAGAT ISLANDS,2019,0.11,188,0.000585106
758,SURIGAO DEL NORTE,2019,0.83,10,0.083
759,SURIGAO DEL SUR,2019,1582.31,2450,0.645840816
760,BASILAN,2019,1544,2907,0.531131751
761,LANAO DEL SUR,2019,325.67,2650,0.12289434
762,MAGUINDANAO,2019,3072.45,3434,0.894714619
763,SULU,2019,2509.18,1031,2.433734239
764,ZAMBOANGA DEL NORTE,2020,261.47,510,0.512686275
765,ZAMBOANGA DEL SUR,2020,11.23,42,0.267380952
766,ZAMBOANGA SIBUGAY,2020,56.25,64,0.87890625
767,ZAMBOANGA CITY,2020,20.64,34,0.607058824
768,BUKIDNON,2020,4425.81,9000.09,0.491751749
769,CAMIGUIN,2020,3.63,18.04,0.201219512
770,LANAO DEL NORTE,2020,270,890,0.303370787
771,MISAMIS OCCIDENTAL,2020,17.5,80,0.21875
772,MISAMIS ORIENTAL,2020,414.06,630,0.657238095
773,DAVAO DE ORO,2020,1143.38,4271,0.267707797
774,DAVAO DEL NORTE,2020,675.72,690,0.979304348
775,DAVAO DEL SUR,2020,1638.05,1518.35,1.078835578
776,DAVAO OCCIDENTAL,2020,1141.96,1114.94,1.024234488
777,DAVAO ORIENTAL,2020,1086.29,1234,0.880299838
778,DAVAO CITY,2020,1628.22,2750,0.59208
779,COTABATO,2020,729.88,1200,0.608233333
780,SARANGANI,2020,239.75,600,0.399583333
781,SULTAN KUDARAT,2020,10785.45,14707,0.733354865
782,SOUTH COTABATO,2020,587.73,1195,0.491824268
783,AGUSAN DEL NORTE,2020,127,415,0.306024096
784,AGUSAN DEL SUR,2020,113.9,1670,0.068203593
785,DINAGAT ISLANDS,2020,0.11,188,0.000585106
786,SURIGAO DEL NORTE,2020,0.9,10,0.09
787,SURIGAO DEL SUR,2020,1378.9,2450,0.562816327
788,BASILAN,2020,1578.05,2907,0.542844857
789,LANAO DEL SUR,2020,325.83,2650,0.122954717
790,MAGUINDANAO,2020,3187.07,3434,0.928092603
791,SULU,2020,2486.06,1031,2.411309408
792,ZAMBOANGA DEL NORTE,2021,209.05,514,0.406712062
793,ZAMBOANGA DEL SUR,2021,15.78,42,0.375714286
794,ZAMBOANGA SIBUGAY,2021,51.71,64,0.80796875
795,ZAMBOANGA CITY,2021,24.47,36,0.679722222
796,BUKIDNON,2021,5041.85,9008,0.559708037
797,CAMIGUIN,2021,3.77,18.03,0.209095951
798,LANAO DEL NORTE,2021,280.05,890,0.314662921
799,MISAMIS OCCIDENTAL,2021,20.55,80,0.256875
800,MISAMIS ORIENTAL,2021,412.37,630,0.654555556
801,DAVAO DE ORO,2021,1011.88,4271,0.236918754
802,DAVAO DEL NORTE,2021,647.38,682,0.949237537
803,DAVAO DEL SUR,2021,1746.69,1518.35,1.150386933
804,DAVAO OCCIDENTAL,2021,1156.82,1115,1.037506726
805,DAVAO ORIENTAL,2021,1063.32,1234,0.861685575
806,DAVAO CITY,2021,1692.93,2750,0.615610909
807,COTABATO,2021,593.02,1050,0.564780952
808,SARANGANI,2021,244.5,610,0.400819672
809,SULTAN KUDARAT,2021,11512.57,14727,0.781732193
810,SOUTH COTABATO,2021,576.91,1201,0.480358035
811,AGUSAN DEL NORTE,2021,144.31,620,0.232758065
812,AGUSAN DEL SUR,2021,113.13,1670,0.067742515
813,DINAGAT ISLANDS,2021,0.12,188,0.000638298
814,SURIGAO DEL NORTE,2021,0.55,10,0.055
815,SURIGAO DEL SUR,2021,1321.7,2450,0.539469388
816,BASILAN,2021,1429.8,2907,0.491847265
817,LANAO DEL SUR,2021,325.77,2651,0.122885704
818,MAGUINDANAO,2021,3248.7,3434,0.946039604
819,SULU,2021,2496.25,1032,2.418846899
