,Location,Year,Production (mt),Area (ha),Yield (mt/ha)
107,DAVAO CITY,1994,6542.34,5544,1.180075758
108,COTABATO,1994,546.29,990,0.551808081
109,SARANGANI,1994,85.99,144,0.597152778
110,SULTAN KUDARAT,1994,6850.59,6822,1.004190853
111,SOUTH COTABATO,1994,1564.33,965,1.621067358
112,AGUSAN DEL NORTE,1994,238.09,208,1.144663462
113,AGUSAN DEL SUR,1994,1418.49,1571.85,0.902433438
114,SURIGAO DEL NORTE,1994,7.35,12,0.6125
115,SURIGAO DEL SUR,1994,3438.7,2780,1.236942446
116,BASILAN,1994,1161.13,2783,0.417222422
117,LANAO DEL SUR,1994,351.85,2399,0.146665277
118,MAGUINDANAO,1994,2352.32,3277,0.717827281
119,SULU,1994,2227.29,924,2.410487013
120,ZAMBOANGA DEL NORTE,1995,97.46,136,0.716617647
121,ZAMBOANGA DEL SUR,1995,110.63,158,0.700189873
122,ZAMBOANGA CITY,1995,127.5,170,0.75
123,BUKIDNON,1995,4961.12,11867,0.418060167
124,CAMIGUIN,1995,88.75,63.7,1.393249608
125,LANAO DEL NORTE,1995,38.44,190,0.202315789
126,MISAMIS OCCIDENTAL,1995,9.97,114,0.08745614
127,MISAMIS ORIENTAL,1995,624.26,760,0.821394737
128,DAVAO DEL NORTE,1995,12888.9,12349,1.043720139
129,DAVAO DEL SUR,1995,8482.11,5600,1.5146625
130,DAVAO ORIENTAL,1995,1473.37,1470,1.002292517
131,DAVAO CITY,1995,6534.39,5690,1.148398946
132,COTABATO,1995,551.28,1050,0.525028571
133,SARANGANI,1995,105.66,144,0.73375
134,SULTAN KUDARAT,1995,7604.82,6822,1.11474934
135,SOUTH COTABATO,1995,1512.85,965,1.567720207
136,AGUSAN DEL NORTE,1995,243.59,211,1.154454976
137,AGUSAN DEL SUR,1995,1387.98,1571.85,0.883023189
138,SURIGAO DEL NORTE,1995,6.41,12,0.534166667
139,SURIGAO DEL SUR,1995,3485.9,2757,1.264381574
140,BASILAN,1995,1129.83,2784,0.405829741
141,LANAO DEL SUR,1995,346.51,2356,0.147075552
142,MAGUINDANAO,1995,3152.55,3262,0.966446965
143,SULU,1995,2219.91,1014,2.189260355
144,ZAMBOANGA DEL NORTE,1996,113.43,143,0.793216783
145,ZAMBOANGA DEL SUR,1996,96.33,153,0.629607843
146,ZAMBOANGA CITY,1996,146.2,169.95,0.860253016
147,BUKIDNON,1996,4764.86,11452,0.416072302
148,CAMIGUIN,1996,185.52,61.15,3.033851186
149,LANAO DEL NORTE,1996,75.34,188,0.400744681
150,MISAMIS OCCIDENTAL,1996,9.87,114,0.086578947
