,Year,Location,Wind_Direction,Wind_Speed_(km/h),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²),rain (mm),weathercode (wmo code),windgusts_10m (km/h),cloudcover (%),Production (mt),Area (ha),Yield (mt/ha)
738,2011,ZAMBOANGA SIBUGAY,7,2.9,25.28,88.06,23.08,986.63,0.14,0.41,26.26,0.48,115.61,80.54,3941.6,51,7.9,100,54.05,82.0,0.659146341
739,2012,ZAMBOANGA SIBUGAY,7,4.0,25.42,87.51,23.12,986.99,0.14,0.43,26.4,0.48,128.19,77.11,3509.9,1,7.9,100,60.39,74.0,0.816081081
740,2013,ZAMBOANGA SIBUGAY,5,5.2,25.53,86.87,23.09,987.09,0.14,0.46,26.45,0.48,123.32,76.15,3688.2,1,6.8,100,54.39,50.0,1.0878
741,2014,ZAMBOANGA SIBUGAY,3,4.0,25.5,85.98,22.87,987.49,0.15,0.49,26.43,0.46,125.61,77.66,2919.6,1,7.2,100,50.71,50.0,1.0142
742,2015,ZAMBOANGA SIBUGAY,5,5.2,25.73,84.77,22.83,988.3,0.15,0.54,26.68,0.44,144.6,71.52,2461.7,1,7.6,100,54.16,62.0,0.873548387
743,2016,ZAMBOANGA SIBUGAY,7,4.0,26.15,85.17,23.32,987.84,0.15,0.54,27.25,0.44,139.67,74.63,3044.9,1,8.3,100,53.35,62.0,0.860483871
744,2017,ZAMBOANGA SIBUGAY,7,4.0,25.65,87.04,23.24,987.28,0.14,0.45,26.61,0.48,118.82,78.74,3683.2,1,7.6,100,52.21,62.0,0.842096774
745,2018,ZAMBOANGA SIBUGAY,7,4.0,25.8,86.33,23.25,987.3,0.15,0.48,26.74,0.47,139.32,74.6,2665.7,1,8.3,100,52.55,62.0,0.847580645
746,2019,ZAMBOANGA SIBUGAY,7,4.0,25.98,84.28,22.96,988.14,0.16,0.57,27.02,0.43,145.57,73.78,2253.2,1,7.6,100,53.22,63.0,0.844761905
747,2020,ZAMBOANGA SIBUGAY,7,2.5,26.09,84.89,23.2,987.71,0.15,0.55,27.21,0.44,135.13,74.15,3017.7,1,7.9,100,56.25,64.0,0.87890625
748,2021,ZAMBOANGA SIBUGAY,5,5.2,25.76,86.87,23.32,987.27,0.14,0.46,26.64,0.48,120.42,78.28,3741.0,1,7.2,100,51.71,64.0,0.80796875
