year,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),weathercode (wmo code),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
2001,24.22019406392694,86.91837899543378,21.828607305936075,0.3340296803652968,21.535159817351598,962.9559817351599,74.7587899543379,0.13774657534246576,0.41696803652968034,4.806974885844749,154.02180365296803,16.14527397260274,25.684315068493152,0.4699711187214612,118.57602739726028,78.22808219178083
2002,24.434269406392694,84.53915525114155,21.536027397260273,0.29082191780821914,18.754794520547946,963.7485273972602,68.04075342465754,0.14602853881278538,0.5025993150684932,5.35681506849315,139.26963470319635,17.038082191780823,25.944349315068493,0.42466084474885846,132.2058219178082,73.23687214611873
2003,24.387808219178083,84.76358447488585,21.541997716894976,0.3446232876712329,20.532305936073058,963.6577511415526,70.72888127853881,0.1410228310502283,0.49331506849315065,5.425262557077626,141.05913242009132,17.121906392694065,26.047043378995433,0.4213497716894977,121.19680365296804,76.32465753424657
2004,24.385314207650275,85.49521857923497,21.69614071038251,0.29207650273224045,19.444558287795992,963.4649476320583,69.31511839708561,0.14254212204007286,0.4702800546448087,5.160006830601093,150.31864754098362,16.60149134790528,25.83835382513661,0.42730874316939893,126.6419626593807,75.86088342440802
2005,24.443995433789954,84.78230593607306,21.58673515981735,0.34976027397260273,20.390981735159816,963.7121689497717,69.45981735159818,0.1418687214611872,0.496244292237443,4.840045662100457,146.49326484018266,15.968949771689498,26.13095890410959,0.42698801369863015,123.58732876712328,75.31404109589042
2006,24.336073059360732,86.26506849315068,21.807408675799085,0.3229908675799087,20.707534246575342,963.4573173515981,69.98264840182648,0.13818493150684932,0.4428139269406393,4.605034246575342,145.79737442922374,15.66211187214612,25.680844748858448,0.4537482876712329,120.64018264840183,75.85730593607306
2007,24.41464611872146,85.87922374429223,21.795319634703198,0.3463812785388128,21.042465753424658,962.9753767123289,71.7271689497717,0.1382134703196347,0.45766666666666667,4.885490867579909,143.399200913242,16.13156392694064,25.90724885844749,0.44065125570776253,118.47385844748858,76.34874429223744
2008,24.16586976320583,87.08230874316939,21.80457650273224,0.3732126593806922,22.08094262295082,962.8785519125682,74.79690346083788,0.13477572859744993,0.411153233151184,4.499499089253187,143.20195810564664,15.11047358834244,25.610576047358833,0.47521778233151185,113.31432149362477,78.95389344262296
2009,24.33361872146119,86.77260273972603,21.90945205479452,0.37707762557077623,21.814269406392693,962.9726255707761,72.67340182648402,0.13559360730593606,0.4242077625570776,5.0835045662100455,158.19851598173517,17.17541095890411,25.663869863013698,0.47420079908675794,114.59383561643835,77.7574200913242
2010,24.781175799086757,84.66438356164383,21.903150684931507,0.3272716894977169,18.47111872146119,963.3245547945205,66.26541095890411,0.14494977168949771,0.5105856164383562,4.549486301369863,128.89406392694065,14.700810502283106,26.34328767123288,0.43372716894977165,127.65182648401826,74.84326484018266
2011,24.17392694063927,87.63424657534246,21.927408675799086,0.4379109589041096,24.548287671232877,962.630296803653,77.83732876712328,0.12858789954337901,0.3917557077625571,4.888333333333334,149.35707762557078,16.156552511415523,25.549657534246574,0.48136837899543383,102.87785388127854,80.3046803652968
2012,24.258504098360657,87.21265938069217,21.92455601092896,0.40492941712204006,22.801684881602913,962.9815915300547,73.5292577413479,0.134603825136612,0.40805783242258653,4.826377504553734,150.4678961748634,16.42504553734062,25.67478369763206,0.47433367486338796,114.7506830601093,77.54690346083788
2013,24.3889497716895,86.47454337899543,21.904954337899543,0.40007990867579907,23.242351598173517,963.0998630136987,73.44577625570776,0.13313584474885845,0.43565867579908674,4.842591324200913,150.24223744292237,15.893481735159817,25.711929223744292,0.47147739726027393,111.1107305936073,76.71666666666667
2014,24.331050228310502,85.65262557077625,21.676552511415526,0.3718607305936073,21.58013698630137,963.4887671232876,70.90776255707763,0.13531392694063926,0.4597420091324201,5.489417808219178,151.9824200913242,17.39244292237443,25.637020547945205,0.45073801369863015,111.6972602739726,78.21997716894977
2015,24.600502283105023,83.78972602739726,21.530947488584477,0.2734474885844749,18.4810502283105,964.2889497716894,64.60867579908675,0.14541780821917807,0.5333801369863014,5.386084474885845,138.60856164383563,17.092705479452057,26.082853881278538,0.4120211187214612,131.7821917808219,71.88538812785389
2016,25.08507513661202,83.65266393442623,21.962841530054646,0.3545195810564663,18.839253187613842,963.8850409836065,64.65858378870674,0.14675204918032786,0.5575967668488161,4.66905737704918,143.4511612021858,15.654565118397088,26.80966530054645,0.41656090619307834,128.0136612021858,75.14685792349727
2017,24.52216894977169,86.68127853881279,22.083390410958906,0.42934931506849316,23.276027397260275,963.31899543379,73.88470319634703,0.13252397260273974,0.4297248858447488,4.911461187214612,148.97134703196346,16.16267123287671,25.87519406392694,0.4736060502283105,107.43778538812785,79.15228310502283
2018,24.639029680365297,85.71472602739726,21.99466894977169,0.33094748858447487,20.47728310502283,963.3307534246576,66.90205479452055,0.14249771689497717,0.46763584474885844,5.1132762557077625,150.7283105022831,16.464143835616436,26.01103881278539,0.456388698630137,126.98082191780821,75.18527397260274
2019,24.813607305936074,83.29189497716895,21.62719178082192,0.24893835616438353,17.78321917808219,964.1558904109588,62.66826484018265,0.1492191780821918,0.5571563926940639,5.395114155251141,140.7279680365297,16.884908675799085,26.398995433789956,0.40435810502283104,133.70844748858448,74.6824200913242
2020,24.923713570127504,83.49464936247723,21.79072176684882,0.3421334244080146,20.28756830601093,963.754121129326,65.69057377049181,0.14404143897996358,0.5539241803278688,4.783128415300546,134.46766848816029,15.607559198542804,26.617736794171222,0.4191923952641166,124.77515938069217,74.59540072859745
2021,24.52912100456621,86.19429223744292,22.000513698630137,0.46320776255707763,23.307762557077627,963.3008105022831,71.73527397260274,0.1324634703196347,0.4448641552511416,4.837522831050228,146.80353881278538,15.501164383561646,25.830125570776254,0.4768167808219178,108.50399543378995,78.3925799086758
2022,24.48967551622419,86.25934119960668,21.968424287118978,0.4423180924287119,27.87881022615536,963.0959562438545,72.46570796460178,0.1320907079646018,0.44238323500491644,4.626720747295969,167.20255653883973,14.108222713864306,25.80229842674533,0.4676141838741396,105.82030481809242,80.10975909537856
