,Year,Location,Production (mt),Area (ha),Yield (mt/ha)
506,2004,DAVAO ORIENTAL,1375.6,1520.0,0.9049999999999999
507,2004,CITY OF DAVAO,6069.65,5278.0,1.1499905267146646
509,2004,COTABATO,1249.29,2545.0,0.49088015717092337
510,2004,SARANGANI,153.4,230.0,0.6669565217391304
511,2004,SULTAN KUDARAT,7791.33,10665.0,0.7305513361462729
512,2004,SOUTH COTABATO,1233.19,733.0,1.682387448840382
514,2004,AGUSAN DEL NORTE,329.2,263.0,1.2517110266159694
515,2004,AGUSAN DEL SUR,362.65,1650.0,0.21978787878787878
516,2004,DINAGAT ISLANDS,0.0,0.0,
517,2004,SURIGAO DEL NORTE,5.5,10.0,0.55
518,2004,SURIGAO DEL SUR,3204.0,2650.0,1.2090566037735848
520,2004,BASILAN,1785.11,2907.0,0.6140729274165806
521,2004,LANAO DEL SUR,280.66,2317.0,0.12113077255071214
522,2004,MAGUINDANAO,2771.78,3430.0,0.8080991253644315
523,2004,SULU,2451.84,1021.0,2.4014103819784527
524,2004,TAWI-TAWI,0.0,0.0,
526,2005,ZAMBOANGA DEL NORTE,292.03,369.0,0.7914092140921408
527,2005,ZAMBOANGA DEL SUR,84.37,123.0,0.6859349593495936
528,2005,ZAMBOANGA SIBUGAY,62.16,89.89,0.6915118478139949
529,2005,CITY OF ZAMBOANGA,72.36,42.0,1.7228571428571429
531,2005,BUKIDNON,4668.76,10450.0,0.4467712918660287
532,2005,CAMIGUIN,28.66,41.0,0.6990243902439024
533,2005,LANAO DEL NORTE,216.41,810.0,0.2671728395061728
534,2005,MISAMIS OCCIDENTAL,3.02,70.0,0.04314285714285714
535,2005,MISAMIS ORIENTAL,307.3,390.0,0.787948717948718
537,2005,DAVAO DE ORO,10703.48,10504.0,1.018990860624524
538,2005,DAVAO DEL NORTE,664.64,624.0,1.0651282051282052
539,2005,DAVAO DEL SUR,3205.95,2905.0,1.1035972461273666
540,2005,DAVAO OCCIDENTAL,0.0,0.0,
541,2005,DAVAO ORIENTAL,1378.95,1520.0,0.9072039473684211
542,2005,CITY OF DAVAO,6183.35,5229.0,1.1825109963664182
544,2005,COTABATO,2511.48,2645.0,0.9495198487712665
545,2005,SARANGANI,187.9,300.0,0.6263333333333333
546,2005,SULTAN KUDARAT,10706.38,10665.0,1.0038799812470698
547,2005,SOUTH COTABATO,1049.71,720.0,1.4579305555555555
549,2005,AGUSAN DEL NORTE,305.84,263.0,1.1628897338403041
550,2005,AGUSAN DEL SUR,366.87,1500.0,0.24458
551,2005,DINAGAT ISLANDS,0.0,0.0,
552,2005,SURIGAO DEL NORTE,5.4,10.0,0.54
553,2005,SURIGAO DEL SUR,2782.0,2650.0,1.049811320754717
555,2005,BASILAN,1741.56,2907.0,0.5990918472652219
556,2005,LANAO DEL SUR,290.51,2317.0,0.12538195943029778
557,2005,MAGUINDANAO,3150.0,3432.0,0.9178321678321678
558,2005,SULU,2458.94,1021.0,2.408364348677767
559,2005,TAWI-TAWI,0.0,0.0,
561,2006,ZAMBOANGA DEL NORTE,320.79,385.0,0.8332207792207793
562,2006,ZAMBOANGA DEL SUR,78.06,118.0,0.6615254237288136
563,2006,ZAMBOANGA SIBUGAY,62.57,84.44,0.7409995262908574
564,2006,CITY OF ZAMBOANGA,64.91,38.0,1.708157894736842
566,2006,BUKIDNON,4939.2,10450.0,0.47265071770334927
567,2006,CAMIGUIN,23.43,36.5,0.6419178082191781
568,2006,LANAO DEL NORTE,213.31,810.0,0.2633456790123457
569,2006,MISAMIS OCCIDENTAL,2.92,70.0,0.04171428571428571
570,2006,MISAMIS ORIENTAL,303.93,390.0,0.7793076923076924
572,2006,DAVAO DE ORO,10597.11,10189.0,1.040053979782118
573,2006,DAVAO DEL NORTE,639.98,612.0,1.045718954248366
574,2006,DAVAO DEL SUR,3086.73,2905.0,1.0625576592082617
575,2006,DAVAO OCCIDENTAL,0.0,0.0,
576,2006,DAVAO ORIENTAL,1367.12,1508.0,0.9065782493368699
577,2006,CITY OF DAVAO,6127.43,5203.0,1.177672496636556
579,2006,COTABATO,2134.85,2380.0,0.8969957983193277
580,2006,SARANGANI,205.0,300.0,0.6833333333333333
581,2006,SULTAN KUDARAT,11113.98,10665.0,1.0420984528832629
582,2006,SOUTH COTABATO,889.2,650.0,1.368
584,2006,AGUSAN DEL NORTE,319.76,260.0,1.2298461538461538
585,2006,AGUSAN DEL SUR,352.58,1500.0,0.23505333333333334
586,2006,DINAGAT ISLANDS,0.0,0.0,
587,2006,SURIGAO DEL NORTE,5.75,10.0,0.575
588,2006,SURIGAO DEL SUR,2066.0,2350.0,0.8791489361702127
590,2006,BASILAN,1767.95,2907.0,0.6081699346405229
591,2006,LANAO DEL SUR,297.5,2317.0,0.1283987915407855
592,2006,MAGUINDANAO,3141.1,3432.0,0.9152389277389277
593,2006,SULU,2465.49,1021.0,2.4147796278158666
594,2006,TAWI-TAWI,0.0,0.0,
596,2007,ZAMBOANGA DEL NORTE,352.39,400.0,0.880975
597,2007,ZAMBOANGA DEL SUR,62.73,105.0,0.5974285714285714
598,2007,ZAMBOANGA SIBUGAY,60.06,82.0,0.7324390243902439
599,2007,CITY OF ZAMBOANGA,54.05,38.0,1.4223684210526315
601,2007,BUKIDNON,4955.0,10450.0,0.47416267942583734
602,2007,CAMIGUIN,20.28,32.0,0.63375
603,2007,LANAO DEL NORTE,226.55,810.0,0.27969135802469136
604,2007,MISAMIS OCCIDENTAL,2.77,67.0,0.04134328358208955
605,2007,MISAMIS ORIENTAL,295.14,370.0,0.7976756756756757
607,2007,DAVAO DE ORO,9990.29,10039.0,0.9951479230999104
608,2007,DAVAO DEL NORTE,626.33,598.0,1.0473745819397995
609,2007,DAVAO DEL SUR,3023.58,2870.0,1.0535121951219513
610,2007,DAVAO OCCIDENTAL,0.0,0.0,
611,2007,DAVAO ORIENTAL,1338.4,1503.0,0.8904856952761145
612,2007,CITY OF DAVAO,3582.54,5150.0,0.6956388349514563
614,2007,COTABATO,1780.81,2370.0,0.7513966244725738
615,2007,SARANGANI,211.0,302.0,0.6986754966887417
616,2007,SULTAN KUDARAT,11660.93,10665.0,1.0933830285982185
617,2007,SOUTH COTABATO,943.17,790.0,1.193886075949367
619,2007,AGUSAN DEL NORTE,390.0,285.0,1.368421052631579
620,2007,AGUSAN DEL SUR,352.7,1455.0,0.24240549828178692
621,2007,DINAGAT ISLANDS,0.0,0.0,
622,2007,SURIGAO DEL NORTE,11.0,10.0,1.1
623,2007,SURIGAO DEL SUR,1993.0,2100.0,0.949047619047619
625,2007,BASILAN,1782.84,2907.0,0.6132920536635706
626,2007,LANAO DEL SUR,292.9,2440.0,0.12004098360655736
627,2007,MAGUINDANAO,2884.2,3432.0,0.8403846153846153
628,2007,SULU,2549.13,1021.0,2.4966993143976492
629,2007,TAWI-TAWI,0.0,0.0,
631,2008,ZAMBOANGA DEL NORTE,378.42,410.0,0.9229756097560976
632,2008,ZAMBOANGA DEL SUR,55.28,87.0,0.6354022988505748
633,2008,ZAMBOANGA SIBUGAY,61.82,82.0,0.7539024390243902
634,2008,CITY OF ZAMBOANGA,52.87,38.0,1.391315789473684
636,2008,BUKIDNON,4875.0,10450.0,0.4665071770334928
637,2008,CAMIGUIN,18.62,31.0,0.6006451612903226
638,2008,LANAO DEL NORTE,224.0,802.0,0.2793017456359102
639,2008,MISAMIS OCCIDENTAL,2.9,37.0,0.07837837837837838
640,2008,MISAMIS ORIENTAL,314.5,390.0,0.8064102564102564
642,2008,DAVAO DE ORO,10078.15,10039.0,1.0038997908158183
643,2008,DAVAO DEL NORTE,611.89,588.0,1.0406292517006803
644,2008,DAVAO DEL SUR,2924.68,2856.0,1.024047619047619
645,2008,DAVAO OCCIDENTAL,0.0,0.0,
646,2008,DAVAO ORIENTAL,1323.98,1495.0,0.8856053511705686
647,2008,CITY OF DAVAO,3364.51,5150.0,0.6533029126213593
649,2008,COTABATO,1673.44,2360.0,0.7090847457627119
650,2008,SARANGANI,217.0,302.0,0.7185430463576159
651,2008,SULTAN KUDARAT,11907.61,10665.0,1.116512892639475
652,2008,SOUTH COTABATO,887.63,855.0,1.0381637426900585
654,2008,AGUSAN DEL NORTE,448.0,285.0,1.5719298245614035
655,2008,AGUSAN DEL SUR,364.41,1455.0,0.2504536082474227
656,2008,DINAGAT ISLANDS,0.0,0.0,
657,2008,SURIGAO DEL NORTE,11.05,10.0,1.105
658,2008,SURIGAO DEL SUR,2007.0,2100.0,0.9557142857142857
660,2008,BASILAN,1735.5,2907.0,0.5970072239422085
661,2008,LANAO DEL SUR,277.65,2400.0,0.11568749999999998
662,2008,MAGUINDANAO,2885.5,3432.0,0.8407634032634033
663,2008,SULU,2615.4,1035.0,2.5269565217391303
664,2008,TAWI-TAWI,0.0,0.0,
666,2009,ZAMBOANGA DEL NORTE,403.72,415.0,0.9728192771084339
667,2009,ZAMBOANGA DEL SUR,42.56,62.0,0.6864516129032259
668,2009,ZAMBOANGA SIBUGAY,60.44,82.0,0.7370731707317073
669,2009,CITY OF ZAMBOANGA,51.89,34.0,1.5261764705882352
671,2009,BUKIDNON,4675.0,10450.0,0.4473684210526316
672,2009,CAMIGUIN,15.46,29.0,0.5331034482758621
673,2009,LANAO DEL NORTE,229.4,802.0,0.28603491271820447
674,2009,MISAMIS OCCIDENTAL,3.16,37.0,0.08540540540540541
675,2009,MISAMIS ORIENTAL,344.09,390.0,0.8822820512820512
677,2009,DAVAO DE ORO,10121.33,10039.0,1.008201016037454
678,2009,DAVAO DEL NORTE,598.8,584.0,1.0253424657534245
679,2009,DAVAO DEL SUR,2935.89,2856.0,1.0279726890756302
680,2009,DAVAO OCCIDENTAL,0.0,0.0,
681,2009,DAVAO ORIENTAL,1294.01,1495.0,0.8655585284280937
682,2009,CITY OF DAVAO,2938.26,5150.0,0.5705359223300971
684,2009,COTABATO,1773.92,2010.0,0.8825472636815921
685,2009,SARANGANI,218.75,302.0,0.7243377483443708
686,2009,SULTAN KUDARAT,12213.84,11210.0,1.0895486173059767
687,2009,SOUTH COTABATO,884.88,983.0,0.9001831129196338
689,2009,AGUSAN DEL NORTE,199.5,285.0,0.7
690,2009,AGUSAN DEL SUR,348.66,1455.0,0.23962886597938146
691,2009,DINAGAT ISLANDS,0.0,0.0,
692,2009,SURIGAO DEL NORTE,10.25,10.0,1.025
693,2009,SURIGAO DEL SUR,1940.56,2100.0,0.9240761904761905
695,2009,BASILAN,1720.25,2907.0,0.5917612659098728
696,2009,LANAO DEL SUR,296.2,2400.0,0.12341666666666666
697,2009,MAGUINDANAO,2888.0,3433.0,0.8412467229828139
698,2009,SULU,2502.35,1035.0,2.417729468599034
699,2009,TAWI-TAWI,0.0,0.0,
701,2010,ZAMBOANGA DEL NORTE,405.98,420.0,0.9666190476190477
702,2010,ZAMBOANGA DEL SUR,28.65,51.0,0.5617647058823529
703,2010,ZAMBOANGA SIBUGAY,60.41,82.0,0.7367073170731707
704,2010,CITY OF ZAMBOANGA,51.0,34.0,1.5
706,2010,BUKIDNON,4610.0,9000.0,0.5122222222222222
707,2010,CAMIGUIN,12.65,26.0,0.48653846153846153
708,2010,LANAO DEL NORTE,223.6,802.0,0.2788029925187032
709,2010,MISAMIS OCCIDENTAL,3.75,37.0,0.10135135135135136
710,2010,MISAMIS ORIENTAL,364.0,390.0,0.9333333333333333
712,2010,DAVAO DE ORO,10026.37,10050.0,0.9976487562189056
713,2010,DAVAO DEL NORTE,601.06,580.0,1.036310344827586
714,2010,DAVAO DEL SUR,2664.25,2856.0,0.9328606442577031
715,2010,DAVAO OCCIDENTAL,0.0,0.0,
716,2010,DAVAO ORIENTAL,1276.3,1495.0,0.8537123745819397
717,2010,CITY OF DAVAO,2593.65,4597.0,0.5642049162497281
719,2010,COTABATO,1735.65,1910.0,0.908717277486911
720,2010,SARANGANI,217.05,305.0,0.7116393442622951
721,2010,SULTAN KUDARAT,12462.98,12360.0,1.008331715210356
722,2010,SOUTH COTABATO,908.82,1094.0,0.8307312614259599
724,2010,AGUSAN DEL NORTE,172.96,300.0,0.5765333333333333
725,2010,AGUSAN DEL SUR,303.56,1453.0,0.20891947694425328
726,2010,DINAGAT ISLANDS,0.0,0.0,
727,2010,SURIGAO DEL NORTE,8.8,10.0,0.8800000000000001
728,2010,SURIGAO DEL SUR,1703.1,2100.0,0.8109999999999999
730,2010,BASILAN,1675.0,2907.0,0.5761953904368765
731,2010,LANAO DEL SUR,285.45,2400.0,0.1189375
732,2010,MAGUINDANAO,2887.75,3433.5,0.8410514052715887
733,2010,SULU,2554.35,1035.0,2.4679710144927536
734,2010,TAWI-TAWI,0.0,0.0,
736,2011,ZAMBOANGA DEL NORTE,346.71,361.0,0.9604155124653739
737,2011,ZAMBOANGA DEL SUR,20.57,36.0,0.571388888888889
738,2011,ZAMBOANGA SIBUGAY,54.05,82.0,0.6591463414634146
739,2011,CITY OF ZAMBOANGA,42.83,34.0,1.2597058823529412
741,2011,BUKIDNON,4545.0,9000.0,0.505
742,2011,CAMIGUIN,10.66,25.0,0.4264
743,2011,LANAO DEL NORTE,213.38,802.0,0.2660598503740648
744,2011,MISAMIS OCCIDENTAL,4.24,37.0,0.1145945945945946
745,2011,MISAMIS ORIENTAL,354.7,395.0,0.8979746835443038
747,2011,DAVAO DE ORO,8519.08,10000.0,0.851908
748,2011,DAVAO DEL NORTE,609.57,586.0,1.0402218430034131
749,2011,DAVAO DEL SUR,2684.63,2856.0,0.9399964985994398
750,2011,DAVAO OCCIDENTAL,0.0,0.0,
751,2011,DAVAO ORIENTAL,1255.53,1492.0,0.8415080428954423
752,2011,CITY OF DAVAO,2277.7,4237.0,0.537573755015341
754,2011,COTABATO,1721.23,1855.0,0.9278867924528302
755,2011,SARANGANI,219.8,310.0,0.7090322580645162
756,2011,SULTAN KUDARAT,12199.23,12360.0,0.9869927184466019
757,2011,SOUTH COTABATO,993.35,1141.0,0.8705959684487292
759,2011,AGUSAN DEL NORTE,95.54,300.0,0.3184666666666667
760,2011,AGUSAN DEL SUR,235.93,1453.0,0.16237439779766003
761,2011,DINAGAT ISLANDS,0.0,0.0,
762,2011,SURIGAO DEL NORTE,6.2,7.0,0.8857142857142858
763,2011,SURIGAO DEL SUR,1639.41,2100.0,0.7806714285714286
765,2011,BASILAN,1644.5,2907.0,0.565703474372205
766,2011,LANAO DEL SUR,289.92,2400.0,0.1208
767,2011,MAGUINDANAO,2885.0,3435.0,0.8398835516739447
768,2011,SULU,2671.2,1040.0,2.568461538461538
769,2011,TAWI-TAWI,0.0,0.0,
771,2012,ZAMBOANGA DEL NORTE,347.38,365.0,0.9517260273972603
772,2012,ZAMBOANGA DEL SUR,14.2,24.0,0.5916666666666667
773,2012,ZAMBOANGA SIBUGAY,60.39,74.0,0.8160810810810811
774,2012,CITY OF ZAMBOANGA,29.03,34.0,0.8538235294117648
776,2012,BUKIDNON,3930.0,9000.0,0.43666666666666665
777,2012,CAMIGUIN,8.63,23.0,0.37521739130434784
778,2012,LANAO DEL NORTE,202.0,802.0,0.2518703241895262
779,2012,MISAMIS OCCIDENTAL,4.9,37.0,0.13243243243243244
780,2012,MISAMIS ORIENTAL,355.0,595.0,0.5966386554621849
782,2012,DAVAO DE ORO,7492.23,9950.0,0.7529879396984924
783,2012,DAVAO DEL NORTE,613.56,591.0,1.0381725888324873
784,2012,DAVAO DEL SUR,2697.61,2856.0,0.9445413165266107
785,2012,DAVAO OCCIDENTAL,0.0,0.0,
786,2012,DAVAO ORIENTAL,1217.51,1481.0,0.8220864280891289
787,2012,CITY OF DAVAO,2093.22,4236.0,0.4941501416430594
789,2012,COTABATO,1776.04,1895.0,0.9372242744063324
790,2012,SARANGANI,221.7,312.0,0.710576923076923
791,2012,SULTAN KUDARAT,12506.3,12375.0,1.010610101010101
792,2012,SOUTH COTABATO,995.31,1132.0,0.8792491166077738
794,2012,AGUSAN DEL NORTE,78.66,386.0,0.2037823834196891
795,2012,AGUSAN DEL SUR,226.42,1450.0,0.15615172413793102
796,2012,DINAGAT ISLANDS,0.0,0.0,
797,2012,SURIGAO DEL NORTE,5.5,10.0,0.55
798,2012,SURIGAO DEL SUR,1454.0,2400.0,0.6058333333333333
800,2012,BASILAN,1594.66,2907.0,0.5485586515307878
801,2012,LANAO DEL SUR,291.48,2400.0,0.12145
802,2012,MAGUINDANAO,2900.75,3435.0,0.8444687045123727
803,2012,SULU,2567.15,1040.0,2.4684134615384616
804,2012,TAWI-TAWI,0.0,0.0,
806,2013,ZAMBOANGA DEL NORTE,349.75,365.0,0.9582191780821918
807,2013,ZAMBOANGA DEL SUR,11.76,17.0,0.691764705882353
808,2013,ZAMBOANGA SIBUGAY,54.39,50.0,1.0878
809,2013,CITY OF ZAMBOANGA,26.95,28.0,0.9625
811,2013,BUKIDNON,4070.0,9000.0,0.45222222222222225
812,2013,CAMIGUIN,8.15,22.5,0.3622222222222222
813,2013,LANAO DEL NORTE,194.96,802.0,0.2430922693266833
814,2013,MISAMIS OCCIDENTAL,6.19,37.0,0.1672972972972973
815,2013,MISAMIS ORIENTAL,378.54,595.0,0.6362016806722689
817,2013,DAVAO DE ORO,1824.5,7276.0,0.2507559098405717
818,2013,DAVAO DEL NORTE,603.14,598.0,1.0085953177257525
819,2013,DAVAO DEL SUR,2707.63,2856.0,0.9480497198879552
820,2013,DAVAO OCCIDENTAL,0.0,0.0,
821,2013,DAVAO ORIENTAL,1186.33,1161.0,1.021817398794143
822,2013,CITY OF DAVAO,1999.19,4158.0,0.4808056758056758
824,2013,COTABATO,1816.79,1900.0,0.9562052631578947
825,2013,SARANGANI,225.5,400.0,0.56375
826,2013,SULTAN KUDARAT,13224.63,12375.0,1.0686569696969697
827,2013,SOUTH COTABATO,1024.75,1166.0,0.8788593481989708
829,2013,AGUSAN DEL NORTE,62.42,386.0,0.1617098445595855
830,2013,AGUSAN DEL SUR,62.29,1450.0,0.04295862068965517
831,2013,DINAGAT ISLANDS,0.0,0.0,
832,2013,SURIGAO DEL NORTE,3.85,10.0,0.385
833,2013,SURIGAO DEL SUR,1358.5,2400.0,0.5660416666666667
835,2013,BASILAN,1549.28,2907.0,0.5329480564155487
836,2013,LANAO DEL SUR,300.2,2400.0,0.12508333333333332
837,2013,MAGUINDANAO,2904.76,3435.0,0.8456360989810772
838,2013,SULU,2532.6,1020.0,2.482941176470588
839,2013,TAWI-TAWI,0.0,0.0,
841,2014,ZAMBOANGA DEL NORTE,369.58,370.0,0.9988648648648648
842,2014,ZAMBOANGA DEL SUR,9.35,14.0,0.6678571428571428
843,2014,ZAMBOANGA SIBUGAY,50.71,50.0,1.0142
844,2014,CITY OF ZAMBOANGA,22.9,20.0,1.145
846,2014,BUKIDNON,4187.0,9000.0,0.4652222222222222
847,2014,CAMIGUIN,7.34,22.0,0.3336363636363636
848,2014,LANAO DEL NORTE,204.2,810.0,0.25209876543209875
849,2014,MISAMIS OCCIDENTAL,7.63,37.0,0.20621621621621622
850,2014,MISAMIS ORIENTAL,368.59,598.0,0.6163712374581939
852,2014,DAVAO DE ORO,1311.58,7126.0,0.18405557114790905
853,2014,DAVAO DEL NORTE,611.7,636.0,0.9617924528301888
854,2014,DAVAO DEL SUR,2831.39,2896.0,0.9776899171270718
855,2014,DAVAO OCCIDENTAL,0.0,0.0,
856,2014,DAVAO ORIENTAL,1147.9,1183.0,0.9703296703296704
857,2014,CITY OF DAVAO,1946.99,4156.0,0.4684769008662175
859,2014,COTABATO,1826.62,1900.0,0.961378947368421
860,2014,SARANGANI,227.4,550.0,0.41345454545454546
861,2014,SULTAN KUDARAT,12709.82,13025.0,0.9758019193857965
862,2014,SOUTH COTABATO,1032.68,1188.0,0.8692592592592593
864,2014,AGUSAN DEL NORTE,68.82,386.0,0.1782901554404145
865,2014,AGUSAN DEL SUR,37.1,1480.0,0.025067567567567568
866,2014,DINAGAT ISLANDS,0.0,0.0,
867,2014,SURIGAO DEL NORTE,2.55,10.0,0.255
868,2014,SURIGAO DEL SUR,1290.3,2400.0,0.537625
870,2014,BASILAN,1516.0,2907.0,0.521499828001376
871,2014,LANAO DEL SUR,301.9,2400.0,0.12579166666666666
872,2014,MAGUINDANAO,2904.56,3435.0,0.8455778748180495
873,2014,SULU,2462.15,1025.0,2.40209756097561
874,2014,TAWI-TAWI,0.0,0.0,
876,2015,ZAMBOANGA DEL NORTE,384.7,370.0,1.0397297297297297
877,2015,ZAMBOANGA DEL SUR,8.93,14.0,0.6378571428571428
878,2015,ZAMBOANGA SIBUGAY,54.16,62.0,0.8735483870967742
879,2015,CITY OF ZAMBOANGA,22.48,28.0,0.8028571428571428
881,2015,BUKIDNON,4213.0,9000.0,0.4681111111111111
882,2015,CAMIGUIN,6.9,21.25,0.3247058823529412
883,2015,LANAO DEL NORTE,202.45,815.0,0.2484049079754601
884,2015,MISAMIS OCCIDENTAL,8.92,37.0,0.2410810810810811
885,2015,MISAMIS ORIENTAL,383.5,620.0,0.6185483870967742
887,2015,DAVAO DE ORO,1242.65,4560.0,0.2725109649122807
888,2015,DAVAO DEL NORTE,621.66,643.0,0.9668118195956453
889,2015,DAVAO DEL SUR,2925.97,2896.0,1.0103487569060772
890,2015,DAVAO OCCIDENTAL,0.0,0.0,
891,2015,DAVAO ORIENTAL,1123.41,1183.0,0.9496280642434489
892,2015,CITY OF DAVAO,1882.01,3408.0,0.5522329812206572
894,2015,COTABATO,1840.53,1902.0,0.9676813880126183
895,2015,SARANGANI,226.0,550.0,0.4109090909090909
896,2015,SULTAN KUDARAT,12207.25,13225.0,0.9230434782608695
897,2015,SOUTH COTABATO,1022.32,1188.0,0.8605387205387206
899,2015,AGUSAN DEL NORTE,78.53,386.0,0.20344559585492228
900,2015,AGUSAN DEL SUR,39.69,1500.0,0.026459999999999997
901,2015,DINAGAT ISLANDS,0.0,0.0,
902,2015,SURIGAO DEL NORTE,1.58,10.0,0.158
903,2015,SURIGAO DEL SUR,1521.09,2400.0,0.6337875
905,2015,BASILAN,1515.0,2907.0,0.5211558307533539
906,2015,LANAO DEL SUR,311.03,2650.0,0.1173698113207547
907,2015,MAGUINDANAO,2988.5,3435.0,0.870014556040757
908,2015,SULU,2495.68,1026.0,2.432436647173489
909,2015,TAWI-TAWI,0.0,0.0,
911,2016,ZAMBOANGA DEL NORTE,292.0,378.0,0.7724867724867724
912,2016,ZAMBOANGA DEL SUR,8.24,16.0,0.515
913,2016,ZAMBOANGA SIBUGAY,53.35,62.0,0.8604838709677419
914,2016,CITY OF ZAMBOANGA,22.15,28.0,0.7910714285714285
916,2016,BUKIDNON,4377.0,9000.0,0.48633333333333334
917,2016,CAMIGUIN,5.03,21.0,0.23952380952380953
918,2016,LANAO DEL NORTE,222.75,850.0,0.2620588235294118
919,2016,MISAMIS OCCIDENTAL,8.9,37.0,0.24054054054054055
920,2016,MISAMIS ORIENTAL,390.0,622.0,0.6270096463022508
922,2016,DAVAO DE ORO,1226.57,4481.0,0.27372684668600755
923,2016,DAVAO DEL NORTE,650.74,674.0,0.9654896142433235
924,2016,DAVAO DEL SUR,2849.12,2896.0,0.9838121546961326
925,2016,DAVAO OCCIDENTAL,0.0,0.0,
926,2016,DAVAO ORIENTAL,1111.54,1179.0,0.9427820186598812
927,2016,CITY OF DAVAO,1840.77,3408.0,0.5401320422535211
929,2016,COTABATO,1252.59,1850.0,0.6770756756756756
930,2016,SARANGANI,219.5,525.0,0.4180952380952381
931,2016,SULTAN KUDARAT,11984.85,13300.0,0.9011165413533835
932,2016,SOUTH COTABATO,572.01,1164.0,0.49141752577319586
934,2016,AGUSAN DEL NORTE,88.87,410.0,0.2167560975609756
935,2016,AGUSAN DEL SUR,30.85,1500.0,0.020566666666666667
936,2016,DINAGAT ISLANDS,0.0,0.0,
937,2016,SURIGAO DEL NORTE,1.3,10.0,0.13
938,2016,SURIGAO DEL SUR,1709.1,2450.0,0.6975918367346938
940,2016,BASILAN,1470.0,2907.0,0.5056759545923633
941,2016,LANAO DEL SUR,315.25,2650.0,0.1189622641509434
942,2016,MAGUINDANAO,2967.55,3430.0,0.8651749271137027
943,2016,SULU,2451.16,1026.0,2.389044834307992
944,2016,TAWI-TAWI,0.0,0.0,
946,2017,ZAMBOANGA DEL NORTE,229.76,483.0,0.4756935817805383
947,2017,ZAMBOANGA DEL SUR,8.95,20.8,0.4302884615384615
948,2017,ZAMBOANGA SIBUGAY,52.21,62.0,0.8420967741935484
949,2017,CITY OF ZAMBOANGA,21.73,28.0,0.7760714285714286
951,2017,BUKIDNON,4481.0,9000.0,0.4978888888888889
952,2017,CAMIGUIN,4.79,20.5,0.23365853658536587
953,2017,LANAO DEL NORTE,233.2,850.0,0.2743529411764706
954,2017,MISAMIS OCCIDENTAL,9.25,39.0,0.23717948717948717
955,2017,MISAMIS ORIENTAL,404.3,622.0,0.65
957,2017,DAVAO DE ORO,1120.03,4266.0,0.26254805438349743
958,2017,DAVAO DEL NORTE,668.71,695.0,0.9621726618705037
959,2017,DAVAO DEL SUR,2732.78,2896.0,0.943639502762431
960,2017,DAVAO OCCIDENTAL,0.0,0.0,
961,2017,DAVAO ORIENTAL,1126.31,1229.0,0.9164442636289666
962,2017,CITY OF DAVAO,1658.09,2770.0,0.5985884476534296
964,2017,COTABATO,1284.82,1845.0,0.696379403794038
965,2017,SARANGANI,224.0,530.0,0.4226415094339623
966,2017,SULTAN KUDARAT,10875.79,13300.0,0.8177285714285715
967,2017,SOUTH COTABATO,587.25,1164.0,0.5045103092783505
969,2017,AGUSAN DEL NORTE,84.0,410.0,0.2048780487804878
970,2017,AGUSAN DEL SUR,94.26,1500.0,0.06284000000000001
971,2017,DINAGAT ISLANDS,0.0,0.0,
972,2017,SURIGAO DEL NORTE,1.2,10.0,0.12
973,2017,SURIGAO DEL SUR,1401.3,2450.0,0.5719591836734693
975,2017,BASILAN,1474.1,2907.0,0.5070863433092535
976,2017,LANAO DEL SUR,313.34,2650.0,0.11824150943396225
977,2017,MAGUINDANAO,2724.75,3429.0,0.7946194225721784
978,2017,SULU,2486.46,1030.0,2.4140388349514565
979,2017,TAWI-TAWI,0.0,0.0,
981,2018,ZAMBOANGA DEL NORTE,235.98,483.0,0.48857142857142855
982,2018,ZAMBOANGA DEL SUR,10.66,21.0,0.5076190476190476
983,2018,ZAMBOANGA SIBUGAY,52.55,62.0,0.8475806451612903
984,2018,CITY OF ZAMBOANGA,22.0,30.0,0.7333333333333333
986,2018,BUKIDNON,4577.8,9000.0,0.5086444444444445
987,2018,CAMIGUIN,4.33,19.0,0.22789473684210526
988,2018,LANAO DEL NORTE,240.25,882.0,0.2723922902494331
989,2018,MISAMIS OCCIDENTAL,11.65,50.0,0.233
990,2018,MISAMIS ORIENTAL,406.85,630.0,0.6457936507936508
992,2018,DAVAO DE ORO,1162.29,4271.0,0.27213533130414425
993,2018,DAVAO DEL NORTE,672.9,699.0,0.9626609442060086
994,2018,DAVAO DEL SUR,2793.29,2895.0,0.96486701208981
995,2018,DAVAO OCCIDENTAL,0.0,0.0,
996,2018,DAVAO ORIENTAL,1127.65,1231.0,0.9160438667749797
997,2018,CITY OF DAVAO,1601.73,2770.0,0.5782418772563177
999,2018,COTABATO,1094.8,1678.0,0.6524433849821215
1000,2018,SARANGANI,237.0,600.0,0.395
1001,2018,SULTAN KUDARAT,9519.81,13370.0,0.7120276738967838
1002,2018,SOUTH COTABATO,603.38,1175.0,0.5135148936170213
1004,2018,AGUSAN DEL NORTE,80.32,410.0,0.19590243902439022
1005,2018,AGUSAN DEL SUR,91.76,1500.0,0.061173333333333337
1006,2018,DINAGAT ISLANDS,0.1,188.0,0.0005319148936170213
1007,2018,SURIGAO DEL NORTE,1.08,10.0,0.10800000000000001
1008,2018,SURIGAO DEL SUR,1489.28,2450.0,0.607869387755102
1010,2018,BASILAN,1590.21,2907.0,0.5470278637770898
