,Year,Location,Production (mt),Area (ha),Yield (mt/ha)
115,1993,MISAMIS ORIENTAL,770.7,938.0,0.8216417910447762
117,1993,DAVAO DE ORO,0.0,0.0,
118,1993,DAVAO DEL NORTE,11850.15,12303.0,0.9631919044135576
119,1993,DAVAO DEL SUR,8630.43,6625.0,1.3027064150943397
120,1993,DAVAO OCCIDENTAL,0.0,0.0,
121,1993,DAVAO ORIENTAL,1546.55,1491.0,1.0372568745808182
122,1993,CITY OF DAVAO,6453.1,5644.0,1.1433557760453579
124,1993,COTABATO,544.95,982.0,0.554938900203666
125,1993,SARANGANI,112.83,144.0,0.7835416666666667
126,1993,SULTAN KUDARAT,5376.25,5802.0,0.9266201309893141
127,1993,SOUTH COTABATO,1562.64,960.0,1.62775
129,1993,AGUSAN DEL NORTE,231.47,203.0,1.1402463054187193
130,1993,AGUSAN DEL SUR,1703.81,1597.0,1.0668816530995617
131,1993,DINAGAT ISLANDS,0.0,0.0,
132,1993,SURIGAO DEL NORTE,7.45,13.0,0.573076923076923
133,1993,SURIGAO DEL SUR,3402.38,2780.0,1.2238776978417267
135,1993,BASILAN,1169.64,2783.0,0.4202802730865972
136,1993,LANAO DEL SUR,351.13,2416.0,0.14533526490066226
137,1993,MAGUINDANAO,2352.23,3285.0,0.7160517503805175
138,1993,SULU,2317.91,923.0,2.511278439869989
139,1993,TAWI-TAWI,0.0,0.0,
141,1994,ZAMBOANGA DEL NORTE,85.71,128.0,0.669609375
142,1994,ZAMBOANGA DEL SUR,106.72,158.0,0.6754430379746835
143,1994,ZAMBOANGA SIBUGAY,0.0,0.0,
144,1994,CITY OF ZAMBOANGA,207.2,296.09,0.699787226856699
146,1994,BUKIDNON,5096.7,12135.0,0.42
147,1994,CAMIGUIN,62.98,62.5,1.00768
148,1994,LANAO DEL NORTE,37.97,190.0,0.19984210526315788
149,1994,MISAMIS OCCIDENTAL,10.97,115.0,0.0953913043478261
150,1994,MISAMIS ORIENTAL,693.62,938.0,0.7394669509594882
152,1994,DAVAO DE ORO,0.0,0.0,
153,1994,DAVAO DEL NORTE,12723.66,12312.0,1.0334356725146199
154,1994,DAVAO DEL SUR,8345.48,6120.0,1.3636405228758168
155,1994,DAVAO OCCIDENTAL,0.0,0.0,
156,1994,DAVAO ORIENTAL,1508.0,1483.0,1.016857720836143
157,1994,CITY OF DAVAO,6542.34,5544.0,1.1800757575757577
159,1994,COTABATO,546.29,990.0,0.5518080808080807
160,1994,SARANGANI,85.99,144.0,0.5971527777777778
161,1994,SULTAN KUDARAT,6850.59,6822.0,1.0041908531222516
162,1994,SOUTH COTABATO,1564.33,965.0,1.6210673575129533
164,1994,AGUSAN DEL NORTE,238.09,208.0,1.1446634615384617
165,1994,AGUSAN DEL SUR,1418.49,1571.85,0.9024334383051819
166,1994,DINAGAT ISLANDS,0.0,0.0,
167,1994,SURIGAO DEL NORTE,7.35,12.0,0.6124999999999999
168,1994,SURIGAO DEL SUR,3438.7,2780.0,1.2369424460431655
170,1994,BASILAN,1161.13,2783.0,0.4172224218469278
171,1994,LANAO DEL SUR,351.85,2399.0,0.14666527719883285
172,1994,MAGUINDANAO,2352.32,3277.0,0.7178272810497407
173,1994,SULU,2227.29,924.0,2.410487012987013
174,1994,TAWI-TAWI,0.0,0.0,
176,1995,ZAMBOANGA DEL NORTE,97.46,136.0,0.7166176470588235
177,1995,ZAMBOANGA DEL SUR,110.63,158.0,0.7001898734177215
178,1995,ZAMBOANGA SIBUGAY,0.0,0.0,
179,1995,CITY OF ZAMBOANGA,127.5,170.0,0.75
181,1995,BUKIDNON,4961.12,11867.0,0.4180601668492458
182,1995,CAMIGUIN,88.75,63.7,1.3932496075353218
183,1995,LANAO DEL NORTE,38.44,190.0,0.2023157894736842
184,1995,MISAMIS OCCIDENTAL,9.97,114.0,0.0874561403508772
185,1995,MISAMIS ORIENTAL,624.26,760.0,0.8213947368421053
187,1995,DAVAO DE ORO,0.0,0.0,
188,1995,DAVAO DEL NORTE,12888.9,12349.0,1.043720139282533
189,1995,DAVAO DEL SUR,8482.11,5600.0,1.5146625
190,1995,DAVAO OCCIDENTAL,0.0,0.0,
191,1995,DAVAO ORIENTAL,1473.37,1470.0,1.0022925170068027
192,1995,CITY OF DAVAO,6534.39,5690.0,1.1483989455184536
194,1995,COTABATO,551.28,1050.0,0.5250285714285714
195,1995,SARANGANI,105.66,144.0,0.73375
196,1995,SULTAN KUDARAT,7604.82,6822.0,1.114749340369393
197,1995,SOUTH COTABATO,1512.85,965.0,1.5677202072538858
199,1995,AGUSAN DEL NORTE,243.59,211.0,1.1544549763033176
200,1995,AGUSAN DEL SUR,1387.98,1571.85,0.8830231892356142
201,1995,DINAGAT ISLANDS,0.0,0.0,
202,1995,SURIGAO DEL NORTE,6.41,12.0,0.5341666666666667
203,1995,SURIGAO DEL SUR,3485.9,2757.0,1.2643815741748277
205,1995,BASILAN,1129.83,2784.0,0.4058297413793103
206,1995,LANAO DEL SUR,346.51,2356.0,0.1470755517826825
207,1995,MAGUINDANAO,3152.55,3262.0,0.9664469650521154
208,1995,SULU,2219.91,1014.0,2.1892603550295857
209,1995,TAWI-TAWI,0.0,0.0,
211,1996,ZAMBOANGA DEL NORTE,113.43,143.0,0.7932167832167832
212,1996,ZAMBOANGA DEL SUR,96.33,153.0,0.6296078431372549
213,1996,ZAMBOANGA SIBUGAY,0.0,0.0,
214,1996,CITY OF ZAMBOANGA,146.2,169.95,0.8602530155928214
216,1996,BUKIDNON,4764.86,11452.0,0.4160723017813482
217,1996,CAMIGUIN,185.52,61.15,3.033851185609158
218,1996,LANAO DEL NORTE,75.34,188.0,0.40074468085106385
219,1996,MISAMIS OCCIDENTAL,9.87,114.0,0.08657894736842105
220,1996,MISAMIS ORIENTAL,561.84,684.0,0.8214035087719299
222,1996,DAVAO DE ORO,0.0,0.0,
223,1996,DAVAO DEL NORTE,12570.29,12344.0,1.0183319831497084
224,1996,DAVAO DEL SUR,6527.05,5120.0,1.274814453125
225,1996,DAVAO OCCIDENTAL,0.0,0.0,
226,1996,DAVAO ORIENTAL,1378.81,1482.0,0.9303711201079622
227,1996,CITY OF DAVAO,6546.79,5610.0,1.1669857397504457
