year,location,weathercode (wmo code),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
2008, Surigao del Sur,1,26.272632058287794,86.4315801457195,23.73802367941712,0.3272427140255009,1007.3846766848816,59.591985428051004,0.1476582422586521,0.4947905282331512,5.172871129326047,145.121470856102,16.359517304189435,26.693340163934426,0.4290710382513661,129.9971539162113,73.26479963570128
2009, Surigao del Sur,1,26.578847031963473,85.58036529680365,23.851723744292237,0.3322602739726027,1007.1665410958905,57.75102739726027,0.14865981735159817,0.539832191780822,5.532431506849315,165.03721461187214,17.051438356164383,26.897397260273973,0.4152502283105023,129.61917808219178,72.09794520547945
2010, Surigao del Sur,1,26.60837899543379,85.7898401826484,23.937876712328766,0.27281963470319637,1008.0129566210046,57.11963470319635,0.15130707762557077,0.5264874429223744,5.558481735159818,123.04748858447489,16.604520547945206,27.02057077625571,0.42090810502283105,137.10970319634703,70.28972602739726
2011, Surigao del Sur,1,26.371312785388128,86.60125570776256,23.86813926940639,0.3757077625570776,1006.9563242009133,62.08276255707762,0.14197374429223744,0.491310502283105,5.208801369863013,155.0527397260274,16.459166666666665,26.72404109589041,0.4291995433789954,118.07465753424657,75.96301369863014
2012, Surigao del Sur,1,26.48624772313297,85.92247267759562,23.84370446265938,0.27540983606557373,1007.3862021857924,59.31113387978142,0.14907559198542805,0.5199590163934426,5.767566029143898,142.76434426229508,17.834073315118395,26.85846994535519,0.42030020491803277,132.91245446265938,71.6707650273224
2013, Surigao del Sur,1,26.54920091324201,85.9417808219178,23.907317351598174,0.3182648401826484,1007.5186301369862,60.069063926940636,0.14606278538812786,0.5208744292237443,5.612180365296803,141.85102739726028,17.015479452054795,26.886175799086757,0.4159603881278539,125.60456621004566,73.8722602739726
2014, Surigao del Sur,1,26.51376712328767,85.3898401826484,23.759737442922372,0.3922146118721461,1007.7147031963472,58.53744292237443,0.14495662100456622,0.5393881278538812,5.691312785388128,167.6148401826484,17.014143835616437,26.828447488584477,0.4184352739726027,123.10171232876712,73.02248858447489
2015, Surigao del Sur,1,26.627819634703197,84.1857305936073,23.620639269406393,0.2576027397260274,1008.7212899543379,52.37066210045662,0.15603767123287673,0.5888698630136986,6.03648401826484,140.50205479452055,17.672819634703195,27.052111872146117,0.39083310502283103,144.4697488584475,67.3791095890411
2016, Surigao del Sur,1,26.923451730418943,84.85746812386157,24.046892076502733,0.25664845173041895,1008.349556010929,53.82411202185792,0.15620673952641168,0.5737636612021857,5.931625683060109,136.08196721311475,17.303005464480876,27.354701730418945,0.3992176684881603,139.7449908925319,71.81614298724955
2017, Surigao del Sur,1,26.64409817351598,86.29326484018264,24.073744292237443,0.3689383561643836,1007.6658904109588,60.766552511415526,0.14378881278538813,0.5098264840182648,5.4902283105022835,148.1972602739726,16.815536529680365,26.979942922374427,0.42670102739726024,120.97568493150685,74.24086757990868
2018, Surigao del Sur,1,26.89,84.55433789954338,23.944691780821916,0.23498858447488585,1007.5220205479452,53.60490867579909,0.15628310502283105,0.5872283105022831,5.580479452054795,153.70787671232875,16.854109589041094,27.26525114155251,0.40970513698630134,140.3167808219178,71.24554794520547
2019, Surigao del Sur,1,26.89090182648402,83.09988584474885,23.63689497716895,0.21944063926940638,1008.537111872146,51.70673515981735,0.1612933789954338,0.6414166666666667,6.093059360730593,140.938698630137,17.429988584474888,27.292831050228312,0.38629337899543376,146.54703196347032,69.48675799086757
2020, Surigao del Sur,1,26.736634790528235,85.61566484517304,24.025056921675773,0.25621584699453553,1008.3249203096539,55.865551001821494,0.150952868852459,0.5366017759562842,5.5925432604735885,132.1976320582878,16.556022313296904,27.245457650273224,0.4048780737704918,134.3976548269581,71.43499544626594
2021, Surigao del Sur,1,26.69900684931507,86.00639269406393,24.063607305936074,0.37210045662100455,1007.6036872146119,58.13458904109589,0.14847260273972604,0.5249189497716895,5.152488584474886,150.5933789954338,16.120079908675798,27.11181506849315,0.4220332191780822,130.15684931506848,71.65308219178083
2022, Surigao del Sur,51,26.50857305936073,86.88253424657535,24.05632420091324,0.3803310502283105,1007.4182648401827,61.02876712328767,0.14234703196347032,0.4852614155251142,5.220650684931507,141.7675799086758,15.109577625570775,26.897762557077623,0.42870844748858444,120.98744292237443,73.80810502283104
