,Year,Location,Production (mt),Area (ha),Yield (mt/ha),weathercode (wmo code),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
45,2002,ZAMBOANGA DEL SUR,95.15,135.0,0.7048148148148149,3,24.43426940639269,84.53915525114155,21.53602739726028,0.2908219178082191,963.7485273972602,68.04075342465754,0.1460285388127853,0.5025993150684932,5.35681506849315,139.26963470319637,17.038082191780823,25.944349315068493,0.4246608447488584,132.2058219178082,73.23687214611873
46,2003,ZAMBOANGA DEL SUR,88.98,135.0,0.6591111111111111,3,24.387808219178083,84.76358447488585,21.541997716894976,0.3446232876712329,963.6577511415526,70.72888127853881,0.1410228310502283,0.4933150684931506,5.425262557077626,141.05913242009132,17.121906392694065,26.04704337899544,0.4213497716894977,121.19680365296804,76.32465753424657
47,2004,ZAMBOANGA DEL SUR,86.52,127.0,0.681259842519685,3,24.385314207650275,85.49521857923497,21.69614071038251,0.2920765027322404,963.4649476320584,69.31511839708561,0.1425421220400728,0.4702800546448087,5.160006830601093,150.31864754098362,16.60149134790528,25.83835382513661,0.4273087431693989,126.6419626593807,75.86088342440802
48,2005,ZAMBOANGA DEL SUR,84.37,123.0,0.6859349593495936,3,24.443995433789954,84.78230593607306,21.58673515981735,0.3497602739726027,963.7121689497716,69.45981735159818,0.1418687214611872,0.496244292237443,4.840045662100457,146.49326484018266,15.968949771689498,26.13095890410959,0.4269880136986301,123.58732876712328,75.31404109589042
49,2006,ZAMBOANGA DEL SUR,78.06,118.0,0.6615254237288136,3,24.33607305936073,86.26506849315068,21.807408675799085,0.3229908675799087,963.457317351598,69.98264840182648,0.1381849315068493,0.4428139269406393,4.605034246575342,145.79737442922374,15.66211187214612,25.680844748858448,0.4537482876712329,120.64018264840183,75.85730593607306
50,2007,ZAMBOANGA DEL SUR,62.73,105.0,0.5974285714285714,3,24.41464611872146,85.87922374429223,21.7953196347032,0.3463812785388128,962.9753767123289,71.7271689497717,0.1382134703196347,0.4576666666666666,4.885490867579909,143.399200913242,16.13156392694064,25.90724885844749,0.4406512557077625,118.47385844748858,76.34874429223744
51,2008,ZAMBOANGA DEL SUR,55.28,87.0,0.6354022988505748,3,24.16586976320583,87.08230874316939,21.80457650273224,0.3732126593806922,962.8785519125682,74.79690346083788,0.1347757285974499,0.411153233151184,4.499499089253187,143.20195810564664,15.11047358834244,25.61057604735884,0.4752177823315118,113.31432149362476,78.95389344262296
52,2009,ZAMBOANGA DEL SUR,42.56,62.0,0.6864516129032259,3,24.33361872146119,86.77260273972603,21.90945205479452,0.3770776255707762,962.972625570776,72.67340182648402,0.135593607305936,0.4242077625570776,5.0835045662100455,158.19851598173517,17.17541095890411,25.66386986301369,0.4742007990867579,114.59383561643835,77.7574200913242
53,2010,ZAMBOANGA DEL SUR,28.65,51.0,0.5617647058823529,1,24.78117579908676,84.66438356164383,21.903150684931507,0.3272716894977169,963.3245547945204,66.26541095890411,0.1449497716894977,0.5105856164383562,4.549486301369863,128.89406392694065,14.700810502283106,26.34328767123288,0.4337271689497716,127.65182648401826,74.84326484018266
54,2011,ZAMBOANGA DEL SUR,20.57,36.0,0.571388888888889,3,24.17392694063927,87.63424657534246,21.92740867579909,0.4379109589041096,962.630296803653,77.83732876712328,0.128587899543379,0.3917557077625571,4.888333333333334,149.35707762557078,16.156552511415523,25.54965753424657,0.4813683789954338,102.87785388127854,80.3046803652968
55,2012,ZAMBOANGA DEL SUR,14.2,24.0,0.5916666666666667,3,24.258504098360657,87.21265938069217,21.92455601092896,0.40492941712204,962.9815915300549,73.5292577413479,0.134603825136612,0.4080578324225865,4.826377504553734,150.4678961748634,16.42504553734062,25.67478369763206,0.4743336748633879,114.7506830601093,77.54690346083788
56,2013,ZAMBOANGA DEL SUR,11.76,17.0,0.691764705882353,3,24.3889497716895,86.47454337899543,21.904954337899543,0.400079908675799,963.0998630136988,73.44577625570776,0.1331358447488584,0.4356586757990867,4.842591324200913,150.24223744292237,15.893481735159815,25.71192922374429,0.4714773972602739,111.1107305936073,76.71666666666667
57,2014,ZAMBOANGA DEL SUR,9.35,14.0,0.6678571428571428,3,24.331050228310502,85.65262557077625,21.67655251141553,0.3718607305936073,963.4887671232876,70.90776255707763,0.1353139269406392,0.4597420091324201,5.489417808219178,151.9824200913242,17.39244292237443,25.637020547945205,0.4507380136986301,111.6972602739726,78.21997716894977
