"COFFEE ROBUSTA: AREA PLANTED IN HECTARES, BY REGION/PROVINCE, MINDANAO, 1990-2009",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
REGION/PROVINCE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
City of Davao,"  5,620.00 ","  5,639.00 ","  5,639.00 ","  5,644.00 ","  5,544.00 ","  5,690.00 ","  5,610.00 ","  5,612.00 ","  5,612.00 ","  5,612.00 ","  5,612.00 ","  5,612.00 ","  5,331.00 ","  5,278.00 ","  5,278.00 ","  5,229.00 ","  5,203.00 ","  5,150.00 ","  5,150.00 ","  5,150.00 "
,,,,,,,,,,,,,,,,,,,,
Region XII (SOCCSKSARGEN),"  6,464.00 ","  7,837.00 ","  7,850.00 ","  7,888.00 ","  8,921.00 ","  8,981.00 ","  9,725.00 ","  9,803.00 ","  9,950.00 ","  12,486.00 ","  13,778.00 ","  14,277.00 ","  13,971.07 ","  13,971.07 ","  14,173.00 ","  14,330.00 ","  13,995.00 ","  14,127.00 ","  14,182.00 ","  14,505.00 "
Cotabato,  977.00 ,  982.00 ,  982.00 ,  982.00 ,  990.00 ,"  1,050.00 ","  1,400.00 ","  1,403.00 ","  1,403.00 ","  1,039.00 ","  1,926.00 ","  2,425.00 ","  2,426.12 ","  2,426.12 ","  2,545.00 ","  2,645.00 ","  2,380.00 ","  2,370.00 ","  2,360.00 ","  2,010.00 "
Sarangani,  108.00 ,  119.00 ,  131.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  144.00 ,  230.00 ,  300.00 ,  300.00 ,  302.00 ,  302.00 ,  302.00 
Sultan Kudarat,"  4,424.00 ","  5,777.00 ","  5,777.00 ","  5,802.00 ","  6,822.00 ","  6,822.00 ","  7,211.00 ","  7,211.00 ","  7,358.00 ","  10,258.00 ","  10,668.00 ","  10,668.00 ","  10,668.00 ","  10,668.00 ","  10,665.00 ","  10,665.00 ","  10,665.00 ","  10,665.00 ","  10,665.00 ","  11,210.00 "
South Cotabato,  955.00 ,  959.00 ,  960.00 ,  960.00 ,  965.00 ,  965.00 ,  970.00 ,"  1,045.00 ","  1,045.00 ","  1,045.00 ","  1,040.00 ","  1,040.00 ",  732.95 ,  732.95 ,  733.00 ,  720.00 ,  650.00 ,  790.00 ,  855.00 ,  983.00 
,,,,,,,,,,,,,,,,,,,,
Region XIII (Caraga),"  4,764.00 ","  4,624.00 ","  4,619.00 ","  4,593.00 ","  4,571.85 ","  4,551.85 ","  3,821.82 ","  3,685.00 ","  3,686.00 ","  3,682.00 ","  4,334.00 ","  4,330.00 ","  4,380.00 ","  4,578.00 ","  4,573.00 ","  4,423.00 ","  4,120.00 ","  3,850.00 ","  3,850.00 ","  3,850.00 "
Agusan del Norte,  200.00 ,  204.00 ,  199.00 ,  203.00 ,  208.00 ,  211.00 ,  213.00 ,  215.00 ,  216.00 ,  212.00 ,  214.00 ,  214.00 ,  214.00 ,  262.00 ,  263.00 ,  263.00 ,  260.00 ,  285.00 ,  285.00 ,  285.00 
Agusan del Sur,"  1,738.00 ","  1,597.00 ","  1,597.00 ","  1,597.00 ","  1,571.85 ","  1,571.85 ",  839.82 ,  750.00 ,  750.00 ,  750.00 ,"  1,450.00 ","  1,450.00 ","  1,500.00 ","  1,650.00 ","  1,650.00 ","  1,500.00 ","  1,500.00 ","  1,455.00 ","  1,455.00 ","  1,455.00 "
Dinagat Islands,,,,,,,,,,,,,,,,,,,,
Surigao del Norte,  16.00 ,  15.00 ,  15.00 ,  13.00 ,  12.00 ,  12.00 ,  12.00 ,  20.00 ,  20.00 ,  20.00 ,  20.00 ,  16.00 ,  16.00 ,  16.00 ,  10.00 ,  10.00 ,  10.00 ,  10.00 ,  10.00 ,  10.00 
Surigao del Sur,"  2,810.00 ","  2,808.00 ","  2,808.00 ","  2,780.00 ","  2,780.00 ","  2,757.00 ","  2,757.00 ","  2,700.00 ","  2,700.00 ","  2,700.00 ","  2,650.00 ","  2,650.00 ","  2,650.00 ","  2,650.00 ","  2,650.00 ","  2,650.00 ","  2,350.00 ","  2,100.00 ","  2,100.00 ","  2,100.00 "
,,,,,,,,,,,,,,,,,,,,
Autonomous Region in Muslim Mindanao (ARMM),"  7,968.00 ","  9,381.00 ","  9,367.00 ","  9,407.00 ","  9,383.00 ","  9,416.00 ","  8,900.00 ","  9,048.00 ","  9,207.00 ","  9,546.00 ","  9,319.00 ","  9,310.49 ","  9,308.00 ","  9,325.00 ","  9,675.00 ","  9,677.00 ","  9,677.00 ","  9,800.00 ","  9,774.00 ","  9,775.00 "
Basilan,"  2,711.00 ","  2,845.00 ","  2,837.00 ","  2,783.00 ","  2,783.00 ","  2,784.00 ","  2,784.00 ","  2,818.00 ","  2,818.00 ","  3,135.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 ","  2,907.00 "
Lanao del Sur,"  2,041.00 ","  2,492.00 ","  2,464.00 ","  2,416.00 ","  2,399.00 ","  2,356.00 ","  1,840.00 ","  1,954.00 ","  1,950.00 ","  1,972.00 ","  1,972.00 ","  1,972.00 ","  1,972.00 ","  1,972.00 ","  2,317.00 ","  2,317.00 ","  2,317.00 ","  2,440.00 ","  2,400.00 ","  2,400.00 "
Maguindanao,"  2,368.00 ","  3,194.00 ","  3,166.00 ","  3,285.00 ","  3,277.00 ","  3,262.00 ","  3,262.00 ","  3,262.00 ","  3,425.00 ","  3,425.00 ","  3,425.00 ","  3,416.49 ","  3,408.00 ","  3,425.00 ","  3,430.00 ","  3,432.00 ","  3,432.00 ","  3,432.00 ","  3,432.00 ","  3,433.00 "
Sulu,  848.00 ,  850.00 ,  900.00 ,  923.00 ,  924.00 ,"  1,014.00 ","  1,014.00 ","  1,014.00 ","  1,014.00 ","  1,014.00 ","  1,015.00 ","  1,015.00 ","  1,021.00 ","  1,021.00 ","  1,021.00 ","  1,021.00 ","  1,021.00 ","  1,021.00 ","  1,035.00 ","  1,035.00 "
Tawi-Tawi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
