,Location,Year,Production (mt),Area (ha),Yield (mt/ha)
137,PANGASINAN,1993,3,3,1
138,CAGAYAN,1993,8,53,0.150943396
139,ISABELA,1993,176,128,1.375
140,NUEVA VIZCAYA,1993,531,1760,0.301704545
141,QUIRINO,1993,89,530,0.167924528
142,AURORA,1993,609,1181,0.515664691
143,BATAAN,1993,56,290,0.193103448
144,BULACAN,1993,1635,826,1.979418886
145,PAMPANGA,1993,3,4,0.75
146,BATANGAS,1993,4449,2955,1.505583756
147,CAVITE,1993,10844,7765,1.396522859
148,LAGUNA,1993,350,710,0.492957746
149,QUEZON,1993,173,479,0.361169102
150,RIZAL,1993,175,65,2.692307692
151,MARINDUQUE,1993,6,8,0.75
152,ORIENTAL MINDORO,1993,1113,850,1.309411765
153,PALAWAN,1993,30,246,0.12195122
154,ROMBLON,1993,1,8,0.125
155,ALBAY,1993,173,238,0.726890756
156,CAMARINES NORTE,1993,150,212,0.70754717
157,CAMARINES SUR,1993,461,938,0.491471215
158,SORSOGON,1993,249,366,0.680327869
159,AKLAN,1993,13,60,0.216666667
160,ANTIQUE,1993,25,26,0.961538462
161,CAPIZ,1993,1960,2050,0.956097561
162,GUIMARAS,1993,1,17,0.058823529
163,ILOILO,1993,2362,3868,0.610651499
164,NEGROS OCCIDENTAL,1993,1946,2834,0.686661962
165,BOHOL,1993,12,103,0.116504854
166,CEBU,1993,6,11,0.545454545
167,NEGROS ORIENTAL,1993,567,880,0.644318182
168,EASTERN SAMAR,1993,2,3,0.666666667
169,LEYTE,1993,20,25,0.8
170,SAMAR,1993,4,7,0.571428571
171,SOUTHERN LEYTE,1993,54,79,0.683544304
172,ABRA,1994,6,5.00100005,1.199760036
173,BENGUET,1994,81,70,1.157142857
174,IFUGAO,1994,1737,2517.47795,0.689976252
175,KALINGA,1994,2549,2480,1.027822581
176,MOUNTAIN PROVINCE,1994,503,1150,0.437391304
177,ILOCOS NORTE,1994,1,8,0.125
178,ILOCOS SUR,1994,27,53,0.509433962
179,LA UNION,1994,3,3,1
180,PANGASINAN,1994,2,3.0003,0.666600007
181,CAGAYAN,1994,7,56,0.125
182,ISABELA,1994,206,145,1.420689655
183,NUEVA VIZCAYA,1994,590,1760,0.335227273
184,QUIRINO,1994,90,530,0.169811321
185,AURORA,1994,588,1116,0.52688172
186,BATAAN,1994,57,280,0.203571429
187,BULACAN,1994,1584,800,1.98
188,PAMPANGA,1994,3,4,0.75
189,BATANGAS,1994,3843,2940,1.307142857
190,CAVITE,1994,10074,7765,1.297359948
191,LAGUNA,1994,347,707,0.490806223
192,QUEZON,1994,166,489,0.339468303
193,RIZAL,1994,175,64,2.734375
194,MARINDUQUE,1994,4,8,0.5
195,ORIENTAL MINDORO,1994,552,630,0.876190476
196,PALAWAN,1994,30,251,0.119521912
197,ROMBLON,1994,1,8,0.125
198,ALBAY,1994,178,293,0.607508532
199,CAMARINES NORTE,1994,150,215,0.697674419
200,CAMARINES SUR,1994,304,915,0.332240437
201,SORSOGON,1994,296,370,0.8
202,AKLAN,1994,13,60,0.216666667
203,ANTIQUE,1994,26,26,1
204,CAPIZ,1994,2098,2090,1.003827751
205,GUIMARAS,1994,2,17,0.117647059
206,ILOILO,1994,2377,3868,0.614529473
207,NEGROS OCCIDENTAL,1994,1949,2834,0.687720536
208,BOHOL,1994,16,100.7769784,0.158766419
209,CEBU,1994,6,11,0.545454545
210,NEGROS ORIENTAL,1994,562,868,0.647465438
211,BILIRAN,1994,2,2,1
212,EASTERN SAMAR,1994,2,2.8,0.714285714
213,LEYTE,1994,19,25,0.76
