,surface_pressure (hPa),diffuse_radiation (W/m²),rain (mm),windgusts_10m (km/h),Yield (mt/ha)
116,932.1566666666668,70.49333333333333,2357.7000000000003,9.4,0.512222222
117,931.3083333333334,76.79333333333334,3213.816666666667,8.3,0.505
118,931.695,74.35666666666667,2759.816666666667,12.6,0.436666667
119,931.8183333333332,73.76833333333333,3050.75,9.7,0.452222222
120,932.075,74.38333333333334,2865.8833333333337,8.6,0.465222222
121,932.9483333333334,69.55666666666667,2193.4666666666667,13.0,0.468111111
122,932.6933333333332,72.30833333333334,2369.516666666667,11.2,0.486333333
123,932.02,75.80666666666666,3487.183333333333,6.8,0.497888889
124,931.9933333333332,71.845,2082.9,9.0,0.508644444
125,932.8366666666666,71.39333333333333,2022.3,7.6,0.519377778
126,932.5466666666669,71.22166666666666,2635.0666666666666,7.6,0.491751749
127,931.985,73.75666666666667,3383.65,7.9,0.559708037
128,1003.9,66.64,1766.9,19.1,2.148085106
129,1004.11,69.99,1566.8,14.0,1.813070866
130,1004.41,70.62,1516.6,12.2,1.76112
131,1004.27,70.18,2320.8,13.7,1.608166667
132,1004.02,68.44,1964.8,18.0,1.00768
133,1003.82,67.91,2769.8,11.9,1.393249608
134,1003.22,70.46,3346.6,11.2,2.3420305563404704
135,1004.94,64.94,1891.3,13.0,2.032215863
136,1004.36,63.76,2257.7,11.5,2.026181818
137,1003.09,72.3,3894.3,12.6,1.73755102
138,1002.9,71.52,3260.7,12.6,1.241956522
139,1003.22,70.99,2631.1,13.0,1.470666667
140,1004.1,67.01,1913.1,18.7,0.83725
141,1004.03,70.78,2519.2,11.2,0.821388889
142,1003.78,68.92,2125.3,11.9,0.815294118
143,1004.06,69.19,2716.7,13.3,0.69902439
144,1003.74,69.45,2189.6,12.2,0.641917808
145,1003.26,70.01,2898.3,13.0,0.63375
146,1003.17,71.22,3382.7,11.5,0.600645161
147,1003.22,69.81,2987.1,15.5,0.533103448
148,1003.63,66.52,3265.0,11.2,0.486538462
149,1002.89,75.05,3346.7,12.2,0.4264
