,surface_pressure (hPa),diffuse_radiation (W/m²),rain (mm),windgusts_10m (km/h),Yield (mt/ha)
521,990.73,76.235,2905.8,7.9,0.718543046
522,990.655,75.325,2255.4,7.9,0.724337748
523,991.155,70.81,2284.3,9.4,0.711639344
524,990.4,79.015,3190.55,8.3,0.709032258
525,990.79,75.38,2562.05,7.9,0.710576923
526,990.875,74.76,2897.2,8.3,0.56375
527,991.135,74.15,2419.05,7.9,0.413454545
528,992.025,69.035,1768.4499999999998,7.9,0.410909091
529,991.605,72.27000000000001,2241.05,7.9,0.418095238
530,991.025,77.675,3083.5,7.6,0.422641509
531,990.96,71.175,1898.55,9.0,0.395
532,991.84,69.79499999999999,1676.6999999999998,8.3,0.403333333
533,991.515,70.66499999999999,2384.8,7.9,0.399583333
534,991.015,75.14500000000001,2950.1000000000004,7.9,0.400819672
535,974.315,70.69,1314.5,8.3,1.42591623
536,974.515,74.08,985.8,9.4,1.226465068
537,974.81,76.25,1247.6,7.9,1.653072917
538,974.66,74.52,1524.6,7.2,1.62775
539,974.475,72.4,1511.6,8.6,1.621067358
540,974.24,73.92,1857.3,7.9,1.567720207
541,973.665,75.9,2039.8,6.8,1.708505155
542,975.275,72.16,1219.0,7.9,1.622047847
543,974.87,69.1,1563.0,8.6,1.427588517
544,973.605,77.47,2578.1,7.6,1.444717703
545,973.45,78.78,2168.3,7.6,1.603442308
546,973.745,76.47,1849.4,8.6,1.695240385
547,974.485,70.65,1397.0,7.6,1.728207927
548,974.375,74.66,1969.7,9.0,1.928658162
549,974.18,72.21,1435.1,7.2,1.682387449
550,974.435,75.11,1615.0,7.9,1.457930556
551,974.24,73.94,1572.5,7.9,1.368
552,973.735,74.74,1775.7,8.3,1.193886076
553,973.705,76.21,2215.4,8.3,1.038163743
554,973.715,76.11,1732.9,7.2,0.900183113
555,974.08,71.1,1396.9,7.2,0.830731261
556,973.425,79.17,2375.3,8.6,0.870595968
557,973.82,75.45,2007.1,7.9,0.879249117
558,973.905,74.42,2524.3,8.6,0.878859348
559,974.185,74.83,2010.6,7.6,0.869259259
560,975.01,70.27,1382.0,7.6,0.860538721
561,974.595,72.49,1892.7,8.6,0.491417526
562,974.07,77.95,2466.4,7.6,0.504510309
563,974.01,71.97,1186.9,7.9,0.513514894
564,974.805,70.91,976.3,7.6,0.498719665
565,974.48,71.3,1730.5,7.6,0.491824268
566,974.07,75.47,2098.4,7.2,0.480358035
567,962.1775,66.63749999999999,2064.375,12.6,0.97091094
568,962.4975,69.27499999999999,1933.3,10.8,0.872136057
569,962.6075,71.805,1983.3,9.7,0.991062835
570,962.5175,70.0,2329.6,10.1,0.926620131
571,962.3725,69.025,2202.725,9.4,1.004190853
572,961.9175,69.11749999999999,2753.4,11.5,1.11474934
573,961.6075,71.58,3101.775,11.2,0.969970878
574,962.4875,67.97999999999999,2010.525,11.2,1.205699626
575,962.4775,65.75,2931.9,13.7,0.735120957
576,961.735,72.0925,3344.625,10.1,0.412252876
577,961.6525,72.765,2929.925,10.8,0.488319273
578,961.86,70.9175,2653.925,12.6,0.559634421
579,962.325,67.25,2068.3,12.6,0.559696288
580,962.14,69.8,2546.5,10.4,0.567583427
581,962.3775,68.48,2276.825,8.6,0.730551336
582,962.39,69.2175,2647.15,10.8,1.003879981
583,961.9425,69.3275,2493.95,12.6,1.042098453
584,961.87,69.74249999999999,2798.55,10.4,1.093383029
585,961.6175,71.5325,3301.45,10.1,1.116512893
586,961.9,70.655,2422.275,11.5,1.089548617
587,961.545,67.38,3113.15,10.8,1.008331715
588,961.39,73.405,3193.5,11.2,0.986992718
589,961.6825,70.3275,2823.775,11.5,1.010610101
590,961.975,70.565,3493.525,10.4,1.06865697
591,962.0225,70.36,2678.0,10.4,0.975801919
592,962.985,66.1925,2257.7,11.2,0.923043478
593,962.495,67.7025,2808.4,11.5,0.901116541
594,961.8375,72.295,3520.5,11.5,0.817728571
595,962.35,68.3675,2378.85,10.4,0.712027674
596,962.6875,67.1175,2140.5,11.5,0.748461481
597,962.34,67.5,3072.4,9.7,0.733354865
598,962.0775,69.735,3115.475,11.2,0.781732193
599,983.38,67.39,988.5,16.6,2.3420305563404704
600,983.56,70.52,748.1,12.6,2.3420305563404704
601,983.87,73.29,849.7,15.8,2.3420305563404704
602,983.75,70.35,994.9,15.8,2.3420305563404704
603,983.53,70.47,900.5,16.6,2.3420305563404704
604,983.26,71.36,1256.5,12.6,2.189260355
605,982.7,73.54,1702.1,16.2,2.189240631
606,984.32,67.34,786.0,15.1,2.18795858
607,983.82,68.81,1457.8,19.1,2.184457594
608,982.53,78.23,1757.0,15.5,2.181873767
609,982.4,77.25,1521.4,15.8,2.3420305563404704
610,982.73,74.84,1438.8,14.8,2.3420305563404704
611,983.53,67.17,735.1,16.6,2.314152791
612,983.44,70.36,1030.7,14.0,2.338139079
613,983.28,69.95,908.5,18.7,2.3420305563404704
614,983.5,72.04,1100.4,16.2,2.3420305563404704
615,983.24,73.25,909.7,14.4,2.3420305563404704
616,982.72,72.92,1442.1,14.4,2.3420305563404704
617,982.61,75.87,1611.9,15.5,2.3420305563404704
618,982.73,73.56,1228.8,15.1,2.3420305563404704
619,982.98,70.88,1708.1,13.0,2.3420305563404704
620,982.37,79.81,1653.2,18.4,2.3420305563404704
621,982.73,74.51,1446.5,18.7,2.3420305563404704
622,982.86,74.3,1471.2,16.2,2.3420305563404704
623,983.32,71.13,1014.5,15.5,2.3420305563404704
624,984.07,66.44,695.1,15.5,2.3420305563404704
625,983.6,69.45,1293.1,11.9,2.3420305563404704
626,983.04,77.01,1811.3,16.2,2.3420305563404704
627,983.08,70.3,1084.1,16.9,2.3420305563404704
628,983.91,66.58,711.4,13.0,2.3420305563404704
629,983.48,69.56,1334.3,13.3,2.3420305563404704
630,983.04,74.33,1587.1,13.3,2.3420305563404704
631,1006.74,68.7,2427.1,16.2,1.215907473
632,1007.02,72.22,2053.4,21.6,1.216844729
633,1007.42,71.45,1817.2,15.8,1.216809117
634,1007.16,69.4,2605.2,16.2,1.223877698
635,1006.75,69.83,2223.5,13.0,1.236942446
636,1006.81,69.61,2573.9,13.7,1.264381574
637,1006.03,70.56,3239.3,11.2,1.214617338
638,1007.76,64.6,2418.8,14.8,1.202962963
639,1007.66,67.74,2011.6,13.7,1.184948148
640,1005.91,72.83,3383.1,14.8,1.184985185
641,1005.71,74.02,3039.6,13.3,1.193743396
642,1005.94,71.47,2683.6,14.4,1.193773585
643,1006.88,69.05,2378.5,13.0,1.201645283
644,1006.76,71.9,2543.8,12.6,1.208037736
645,1006.39,68.52,1703.8,15.5,1.209056604
646,1006.87,69.36,2528.5,15.1,1.049811321
647,1006.52,69.79,2324.5,13.3,0.879148936
648,1006.1,70.19,2655.5,16.2,0.949047619
649,1006.08,72.16,2917.4,16.2,0.955714286
650,1005.83,70.2,3165.5,11.9,0.92407619
651,1006.74,68.28,2576.4,14.8,0.811
652,1005.63,73.85,3646.2,15.1,0.780671429
653,1006.07,70.11,2726.3,19.1,0.605833333
654,1006.22,72.0,2956.4,15.8,0.566041667
655,1006.37,71.12,3544.0,11.5,0.537625
656,1007.42,65.6,2498.1,18.0,0.6337875
657,1007.07,69.69,2274.4,18.0,0.697591837
658,1006.35,72.67,3372.8,13.7,0.571959184
659,1006.21,69.88,2401.9,17.6,0.607869388
660,1007.25,67.36,2017.3,14.4,0.645840816
661,1007.05,69.13,2314.6,11.9,0.562816327
662,1006.29,69.92,3031.7,13.7,0.539469388
663,1009.51,65.74,1963.5,19.1,0.452087912
664,1009.73,69.91,1294.3,17.6,0.493333333
665,1010.04,69.36,1475.3,14.8,0.625789474
666,1009.88,70.66,2112.2,14.8,0.641300813
667,1009.61,68.69,2003.9,17.6,0.669609375
668,1009.43,68.94,1991.4,12.2,0.716617647
669,1008.81,71.78,2947.6,12.2,0.793216783
670,1010.54,65.95,1745.9,16.2,0.833202614
671,1010.0,63.89,1556.1,11.2,0.822875817
672,1008.63,73.91,2998.2,18.7,0.834375
673,1008.43,72.99,2241.8,15.8,0.8895625
674,1008.76,70.86,2180.9,14.8,0.954539877
675,1009.68,65.86,1938.2,19.4,0.813476395
676,1009.63,70.15,2405.9,15.5,0.823991416
677,1009.33,68.55,1619.7,13.0,0.749482289
678,1009.64,68.27,2095.0,15.8,0.791409214
679,1009.29,69.76,1908.3,19.1,0.833220779
680,1008.81,69.57,2215.4,19.8,0.880975
681,1008.71,71.18,2475.9,15.1,0.92297561
682,1008.75,70.66,2577.3,16.9,0.972819277
683,1009.21,68.29,2279.4,11.9,0.966619048
684,1008.43,75.89,3186.0,17.6,0.960415512
685,1008.75,70.76,2281.8,19.4,0.951726027
686,1008.92,71.69,2380.5,16.2,0.958219178
687,1009.37,72.63,2718.7,12.6,0.998864865
688,1010.2,65.91,1890.1,15.5,1.03972973
689,1009.69,67.5,1779.1,16.2,0.772486772
690,1009.13,73.82,2915.9,11.9,0.475693582
691,1009.09,69.02,2106.3,20.5,0.488571429
692,1010.0,67.03,1540.2,13.3,0.464959677
693,1009.62,69.08,2504.3,13.3,0.512686275
694,1009.045,72.815,2957.3500000000004,13.7,0.406712062
695,996.97,70.50999999999999,2353.1,10.8,0.675961538
696,997.21,74.58,1834.6,9.0,0.67081761
697,997.5,74.86500000000001,1927.0,8.3,0.662229299
698,997.365,75.47,2235.85,9.4,0.679490446
699,997.17,73.3,2392.85,10.8,0.675443038
700,996.895,73.555,2654.3,11.2,0.700189873
701,996.315,76.395,2879.95,8.6,0.629607843
702,998.01,71.53,2207.3500000000004,9.4,0.700844156
703,997.45,70.355,2009.7,9.4,0.687254902
704,996.215,78.03,3153.7,11.9,0.689934211
705,996.04,77.42500000000001,2920.1,10.4,0.699230769
706,996.37,76.11500000000001,2623.1,10.4,0.759338235
707,997.16,70.55,2323.45,11.9,0.704814815
708,997.06,74.14,2612.3500000000004,9.7,0.659111111
709,996.87,73.285,2105.55,9.4,0.681259843
710,997.12,73.17500000000001,2886.8,9.7,0.685934959
711,996.875,73.685,2651.3500000000004,10.8,0.661525424
712,996.36,74.53999999999999,2718.3,9.7,0.597428571
713,996.3,76.65,2788.7,9.4,0.635402299
714,996.355,75.71000000000001,3100.8,9.4,0.686451613
715,996.655,72.72,2268.05,10.1,0.561764706
716,996.03,78.91,3466.05,12.2,0.571388889
717,996.39,75.605,3262.95,9.0,0.591666667
718,996.475,74.69,3173.65,11.2,0.691764706
719,996.875,76.41499999999999,2887.7,9.7,0.667857143
720,997.695,69.47,2340.2,9.0,0.637857143
721,997.205,72.85,2822.65,10.1,0.515
722,996.67,77.375,3321.4,9.7,0.430288462
723,996.675,72.765,2561.05,11.5,0.507619048
724,997.53,72.0,2168.9,10.8,0.4064
725,997.085,72.33,2767.15,9.4,0.267380952
726,996.65,76.255,3392.25,9.0,0.375714286
727,986.65,78.74,3392.0,7.9,0.640377358
728,986.98,77.28,2912.5,7.2,0.670188679
729,987.76,72.5,2287.5,7.6,0.582052495
730,987.66,75.78,2757.6,7.9,0.644123906
731,987.48,74.64,2243.6,8.3,0.694253961
732,987.72,75.35,3087.7,6.8,0.691511848
733,987.48,75.7,2715.6,7.2,0.740999526
734,986.96,75.98,3228.2,7.9,0.732439024
735,986.9,78.55,3282.3,7.9,0.753902439
736,986.97,77.46,3038.1,7.6,0.737073171
737,987.27,73.92,2956.1,8.6,0.736707317
738,986.63,80.54,3941.6,7.9,0.659146341
739,986.99,77.11,3509.9,7.9,0.816081081
740,987.09,76.15,3688.2,6.8,1.0878
741,987.49,77.66,2919.6,7.2,1.0142
742,988.3,71.52,2461.7,7.6,0.873548387
743,987.84,74.63,3044.9,8.3,0.860483871
744,987.28,78.74,3683.2,7.6,0.842096774
745,987.3,74.6,2665.7,8.3,0.847580645
746,988.14,73.78,2253.2,7.6,0.844761905
747,987.71,74.15,3017.7,7.9,0.87890625
748,987.27,78.28,3741.0,7.2,0.80796875
