,Wind_Direction,Wind_Speed_(km/h),rain (mm),weathercode (wmo code),Yield (mt/ha)
496,3,4.7,2262.25,1,0.618548387
497,3,4.7,2541.25,1,0.627009646
498,3,4.7,3826.0,1,0.65
499,3,4.7,2233.6000000000004,1,0.645793651
500,3,5.4,1996.4,1,0.653730159
501,3,4.0,3481.95,1,0.657238095
502,3,4.0,3993.65,1,0.654555556
503,0,4.0,1659.15,1,0.964722222
504,0,4.0,1495.6,1,0.862605042
505,0,2.2,1590.75,1,0.811832061
506,0,4.0,1981.5,1,0.783541667
507,0,2.2,1781.95,1,0.597152778
508,0,2.2,2276.7,1,0.73375
509,6,3.1,2768.95,51,1.16375
510,2,3.4,1829.25,1,1.099027778
511,0,4.0,2041.2,1,1.466111111
512,8,1.3,3407.8500000000004,2,1.467569444
513,8,1.3,2784.65,1,1.067361111
514,8,1.3,2313.95,2,1.206527778
515,0,2.9,1713.6,1,1.199305556
516,0,1.8,2295.35,1,0.846041667
517,12,0.8,1742.85,1,0.666956522
518,0,2.2,2131.55,1,0.626333333
519,8,1.8,2038.4,1,0.683333333
520,8,3.1,2515.1000000000004,1,0.698675497
521,8,1.8,2905.8,1,0.718543046
522,12,5.2,2255.4,1,0.724337748
523,0,2.2,2284.3,1,0.711639344
524,8,1.3,3190.55,2,0.709032258
525,8,3.1,2562.05,1,0.710576923
526,8,2.6,2897.2,1,0.56375
527,12,0.8,2419.05,1,0.413454545
528,6,3.1,1768.4499999999998,1,0.410909091
529,0,1.8,2241.05,1,0.418095238
530,11,1.8,3083.5,1,0.422641509
531,6,1.3,1898.55,1,0.395
532,6,3.1,1676.6999999999998,1,0.403333333
533,0,1.8,2384.8,1,0.399583333
534,8,2.3,2950.1000000000004,1,0.400819672
535,4,3.1,1314.5,1,1.42591623
536,4,3.1,985.8,1,1.226465068
537,4,3.1,1247.6,1,1.653072917
538,9,2.4,1524.6,1,1.62775
539,9,2.1,1511.6,1,1.621067358
540,4,3.1,1857.3,1,1.567720207
541,13,2.1,2039.8,51,1.708505155
542,9,2.7,1219.0,1,1.622047847
543,1,3.4,1563.0,1,1.427588517
544,9,2.1,2578.1,2,1.444717703
545,9,2.1,2168.3,1,1.603442308
546,10,2.3,1849.4,1,1.695240385
547,9,2.1,1397.0,1,1.728207927
548,5,3.4,1969.7,1,1.928658162
549,9,1.9,1435.1,1,1.682387449
550,4,3.1,1615.0,1,1.457930556
551,4,3.6,1572.5,1,1.368
552,4,3.1,1775.7,1,1.193886076
553,9,2.1,2215.4,1,1.038163743
554,9,2.7,1732.9,1,0.900183113
555,4,3.1,1396.9,1,0.830731261
556,9,2.4,2375.3,2,0.870595968
557,9,2.1,2007.1,1,0.879249117
558,10,2.3,2524.3,1,0.878859348
559,9,3.4,2010.6,1,0.869259259
560,5,3.4,1382.0,1,0.860538721
561,4,3.1,1892.7,1,0.491417526
562,9,1.6,2466.4,1,0.504510309
563,3,2.5,1186.9,1,0.513514894
564,4,3.6,976.3,1,0.498719665
565,4,3.1,1730.5,1,0.491824268
566,9,2.3,2098.4,1,0.480358035
567,10,3.1,2064.375,1,0.97091094
568,13,3.4,1933.3,1,0.872136057
569,10,3.6,1983.3,51,0.991062835
570,10,3.1,2329.6,51,0.926620131
571,11,1.8,2202.725,1,1.004190853
572,4,3.1,2753.4,51,1.11474934
573,4,3.1,3101.775,51,0.969970878
574,10,3.1,2010.525,51,1.205699626
575,4,3.1,2931.9,51,0.735120957
576,4,1.8,3344.625,51,0.412252876
577,4,3.1,2929.925,51,0.488319273
578,10,1.3,2653.925,51,0.559634421
579,10,2.8,2068.3,1,0.559696288
580,10,1.8,2546.5,51,0.567583427
581,13,3.4,2276.825,51,0.730551336
582,10,1.3,2647.15,51,1.003879981
583,10,2.6,2493.95,1,1.042098453
584,4,3.1,2798.55,51,1.093383029
585,4,3.1,3301.45,51,1.116512893
586,11,2.9,2422.275,51,1.089548617
587,4,3.1,3113.15,51,1.008331715
588,10,3.1,3193.5,51,0.986992718
589,4,3.1,2823.775,51,1.010610101
590,11,1.8,3493.525,51,1.06865697
591,9,3.4,2678.0,51,0.975801919
592,10,3.1,2257.7,1,0.923043478
593,10,3.1,2808.4,51,0.901116541
594,10,3.1,3520.5,51,0.817728571
595,9,5.2,2378.85,1,0.712027674
596,10,2.3,2140.5,51,0.748461481
597,7,2.5,3072.4,51,0.733354865
598,10,3.1,3115.475,51,0.781732193
599,3,4.0,988.5,1,2.3420305563404704
600,5,8.9,748.1,1,2.3420305563404704
601,3,9.4,849.7,1,2.3420305563404704
602,3,13.0,994.9,1,2.3420305563404704
603,5,8.2,900.5,1,2.3420305563404704
604,5,8.7,1256.5,1,2.189260355
605,1,18.386290687273288,1702.1,1,2.189240631
606,5,10.0,786.0,1,2.18795858
607,8,14.8,1457.8,1,2.184457594
608,8,15.0,1757.0,1,2.181873767
609,8,6.1,1521.4,1,2.3420305563404704
610,9,14.0,1438.8,1,2.3420305563404704
611,5,10.5,735.1,1,2.314152791
612,5,18.386290687273288,1030.7,1,2.338139079
613,3,8.3,908.5,1,2.3420305563404704
614,3,9.4,1100.4,1,2.3420305563404704
615,9,7.9,909.7,1,2.3420305563404704
616,8,14.3,1442.1,1,2.3420305563404704
617,8,14.3,1611.9,1,2.3420305563404704
618,5,14.0,1228.8,1,2.3420305563404704
619,2,10.8,1708.1,1,2.3420305563404704
620,9,15.6,1653.2,1,2.3420305563404704
621,9,12.1,1446.5,1,2.3420305563404704
622,3,18.386290687273288,1471.2,1,2.3420305563404704
623,3,18.386290687273288,1014.5,1,2.3420305563404704
624,3,14.8,695.1,1,2.3420305563404704
625,3,7.6,1293.1,1,2.3420305563404704
626,5,18.386290687273288,1811.3,1,2.3420305563404704
627,3,18.386290687273288,1084.1,1,2.3420305563404704
628,5,10.0,711.4,1,2.3420305563404704
629,3,10.9,1334.3,1,2.3420305563404704
630,3,4.7,1587.1,1,2.3420305563404704
631,4,14.3,2427.1,1,1.215907473
632,4,13.0,2053.4,1,1.216844729
633,4,13.0,1817.2,1,1.216809117
634,4,17.1,2605.2,1,1.223877698
635,4,13.0,2223.5,1,1.236942446
636,4,14.3,2573.9,51,1.264381574
637,4,13.0,3239.3,51,1.214617338
638,4,13.0,2418.8,1,1.202962963
639,1,10.5,2011.6,51,1.184948148
640,1,10.8,3383.1,51,1.184985185
641,1,9.7,3039.6,51,1.193743396
642,4,14.3,2683.6,1,1.193773585
643,4,14.8,2378.5,51,1.201645283
644,4,15.3,2543.8,1,1.208037736
645,4,10.2,1703.8,1,1.209056604
646,4,9.7,2528.5,1,1.049811321
647,4,13.0,2324.5,51,0.879148936
648,4,14.3,2655.5,51,0.949047619
649,4,8.7,2917.4,51,0.955714286
650,4,7.4,3165.5,1,0.92407619
