,weathercode (wmo code),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),Yield (mt/ha)
0,3.0,23.486278538812783,86.20045662100456,20.89923515981735,0.4520879120879121
1,3.0,23.378607305936075,86.40399543378996,20.8562100456621,0.4933333333333333
2,3.0,23.25315346083789,86.11122495446266,20.6640141165756,0.6257894736842106
3,3.0,23.086187214611872,88.17157534246576,20.931312785388126,0.64130081300813
4,3.0,23.10021689497717,88.40114155251142,20.990673515981733,0.669609375
5,3.0,23.28022831050228,88.1398401826484,21.116278538812782,0.7166176470588235
6,51.0,23.086304644808745,88.93966302367942,21.0845514571949,0.7932167832167832
7,3.0,23.148618721461187,87.11210045662101,20.78318493150685,0.8332026143790849
8,3.0,24.033299086757992,84.42214611872146,21.03824200913242,0.8228758169934641
9,3.0,23.097705479452053,88.90970319634704,21.09251141552512,0.834375
10,3.0,23.216211293260475,88.71220400728598,21.16392304189436,0.8895625
11,3.0,23.25528538812785,88.58356164383562,21.1827397260274,0.9545398773006136
12,3.0,23.30625570776256,87.34646118721462,20.985091324200912,0.8134763948497854
13,3.0,23.26036529680365,87.64942922374429,20.99579908675799,0.823991416309013
14,3.0,23.285439435336976,88.06215846994536,21.107912112932603,0.7494822888283379
15,3.0,23.382134703196343,86.75342465753425,20.922054794520548,0.7914092140921408
16,3.0,23.337294520547943,88.33630136986301,21.215011415525115,0.8332207792207793
17,3.0,23.379965753424656,88.23333333333333,21.233527397260275,0.880975
18,3.0,23.20269808743169,88.87613843351548,21.18566712204008,0.9229756097560976
19,3.0,23.321940639269407,88.7851598173516,21.287842465753425,0.972819277108434
20,3.0,23.677545662100457,87.50833333333334,21.372237442922373,0.9666190476190476
21,3.0,23.224874429223743,89.2763698630137,21.29126712328767,0.960415512465374
22,3.0,23.330168488160293,88.6120218579235,21.264093806921675,0.9517260273972604
23,3.0,23.374783105022832,88.79292237442922,21.3381392694064,0.9582191780821918
24,3.0,23.19150684931507,88.64748858447489,21.13239726027397,0.9988648648648648
25,3.0,23.455399543378995,87.02865296803652,21.06013698630137,1.0397297297297297
26,3.0,23.92654826958105,86.56045081967213,21.40510018214936,0.7724867724867724
27,3.0,23.535205479452053,88.87625570776255,21.517568493150684,0.4756935817805383
28,3.0,23.6474200913242,87.64566210045662,21.37982876712329,0.4885714285714285
29,3.0,23.71980593607305,85.47191780821917,20.99704337899544,0.4649596774193548
30,3.0,23.825193533697632,86.71892076502732,21.34362477231329,0.512686274509804
31,3.0,23.52256849315069,88.82111872146119,21.49214611872146,0.4067120622568093
32,51.0,23.500700589970503,88.92453294001966,21.494776302851523,0.0
33,1.0,24.65755707762557,83.29509132420091,21.456278538812786,0.6759615384615385
34,3.0,24.51304794520548,83.51095890410959,21.372248858447488,0.6708176100628931
35,1.0,24.42469262295082,83.68693078324226,21.3333674863388,0.6622292993630573
36,3.0,24.22622146118721,85.59509132420091,21.55218036529681,0.6794904458598726
37,3.0,24.166347031963472,86.15787671232877,21.6104794520548,0.6754430379746835
38,3.0,24.357910958904107,85.59223744292237,21.6830593607306,0.7001898734177215
39,51.0,24.15869763205829,86.48998178506375,21.678187613843352,0.6296078431372549
40,3.0,24.187100456621003,85.27111872146119,21.450730593607304,0.7008441558441559
41,1.0,25.07396118721461,82.76027397260275,21.7425,0.6872549019607843
42,3.0,24.04519406392694,87.38538812785389,21.746381278538813,0.6899342105263159
43,3.0,24.12757285974499,87.42725409836065,21.837739071038254,0.6992307692307692
44,3.0,24.22019406392694,86.91837899543378,21.828607305936075,0.7593382352941176
45,3.0,24.43426940639269,84.53915525114155,21.53602739726028,0.7048148148148149
46,3.0,24.387808219178083,84.76358447488585,21.541997716894976,0.6591111111111111
47,3.0,24.385314207650275,85.49521857923497,21.69614071038251,0.681259842519685
48,3.0,24.443995433789954,84.78230593607306,21.58673515981735,0.6859349593495936
49,3.0,24.33607305936073,86.26506849315068,21.807408675799085,0.6615254237288136
50,3.0,24.41464611872146,85.87922374429223,21.7953196347032,0.5974285714285714
51,3.0,24.16586976320583,87.08230874316939,21.80457650273224,0.6354022988505748
52,3.0,24.33361872146119,86.77260273972603,21.90945205479452,0.6864516129032259
53,1.0,24.78117579908676,84.66438356164383,21.903150684931507,0.5617647058823529
