,weathercode (wmo code),rain (mm),windspeed_10m (km/h),Yield (mt/ha)
0,3.0,0.3651255707762557,6.732808219178082,0.4520879120879121
1,3.0,0.2924429223744292,6.505616438356164,0.4933333333333333
2,3.0,0.3205601092896175,5.957604735883424,0.6257894736842106
3,3.0,0.4130821917808219,5.7026369863013695,0.64130081300813
4,3.0,0.3914269406392694,5.919954337899544,0.669609375
5,3.0,0.4176141552511416,5.593664383561644,0.7166176470588235
6,51.0,0.4792805100182149,5.702618397085611,0.7932167832167832
7,3.0,0.3607648401826484,6.069531963470319,0.8332026143790849
8,3.0,0.3533333333333333,5.1587899543379,0.8228758169934641
9,3.0,0.5214155251141553,5.111095890410959,0.834375
10,3.0,0.4483606557377049,5.068989071038251,0.8895625
11,3.0,0.4100228310502283,5.591187214611873,0.9545398773006136
12,3.0,0.3467237442922374,6.279520547945205,0.8134763948497854
13,3.0,0.3967351598173516,6.425308219178082,0.823991416309013
14,3.0,0.340459927140255,6.083743169398907,0.7494822888283379
15,3.0,0.3961073059360731,5.698949771689498,0.7914092140921408
16,3.0,0.3923173515981735,5.473744292237443,0.8332207792207793
17,3.0,0.4311529680365297,5.711244292237443,0.880975
18,3.0,0.4697404371584699,5.013729508196721,0.9229756097560976
19,3.0,0.4636643835616438,5.952579908675799,0.972819277108434
20,3.0,0.4354566210045662,5.239657534246575,0.9666190476190476
21,3.0,0.5505365296803653,5.736940639269406,0.960415512465374
22,3.0,0.4836293260473588,5.721493624772313,0.9517260273972604
23,3.0,0.4897602739726027,5.5446689497716894,0.9582191780821918
24,3.0,0.4467465753424657,6.209703196347032,0.9988648648648648
25,3.0,0.3509246575342465,6.413595890410959,1.0397297297297297
26,3.0,0.4319785974499089,5.62964480874317,0.7724867724867724
27,3.0,0.528310502283105,5.597602739726027,0.4756935817805383
28,3.0,0.4123059360730594,6.020981735159817,0.4885714285714285
29,3.0,0.3113356164383561,6.514360730593608,0.4649596774193548
30,3.0,0.4806693989071038,5.672529599271402,0.512686274509804
